slice,n,k_man,rate_man,rate_man_ci_low,rate_man_ci_high,k_woman,rate_woman,k_abstain,rate_abstain,mean_p_man,mean_p_woman,evidence_shift,context_order,abstain_variant
overall,45648,15429,0.3379994742376446,0.33367384087528995,0.3423523722709504,16748,0.36689449702068,13471,0.2951060287416754,0.36723445519497944,0.3765091459897516,,,
by_evidence,15216,3937,0.25874079915878023,0.25184368322281264,0.26575970628946716,3469,0.22798370136698212,7810,0.5132754994742377,0.3471410879808978,0.33711607887881656,no_evidence,,
by_evidence,15216,6185,0.40648002103049424,0.3987001112322525,0.4143071410902684,5250,0.34503154574132494,3781,0.24848843322818087,0.39572587350973926,0.35269091375657874,man,,
by_evidence,15216,5307,0.3487776025236593,0.34124403584544294,0.35638750849336276,8029,0.5276682439537329,1880,0.12355415352260778,0.3588364040943012,0.43972044533385957,woman,,
by_context_evidence,7608,1424,0.1871713985278654,0.17856530852152253,0.1960932497963489,2403,0.31585173501577285,3781,0.49697686645636174,0.32109811804947747,0.366334578134002,no_evidence,man_first,
by_context_evidence,7608,852,0.11198738170347003,0.10509606427804405,0.11927034923218979,5045,0.663117770767613,1711,0.22489484752891692,0.2795984135440244,0.48468043634493674,man,man_first,
by_context_evidence,7608,468,0.061514195583596214,0.05633320976224128,0.06713777786314493,6330,0.832018927444795,810,0.10646687697160884,0.24451606904134962,0.5538222821562557,woman,man_first,
by_context_evidence,7608,2513,0.33031019978969506,0.3198295312514031,0.34096214891177845,1066,0.14011566771819137,4029,0.5295741324921136,0.37318405791231823,0.30789757962363107,no_evidence,woman_first,
by_context_evidence,7608,5333,0.7009726603575184,0.6905854265684405,0.7111570374365909,205,0.026945320715036802,2070,0.27208201892744477,0.511853333475454,0.22070139116822074,man,woman_first,
by_context_evidence,7608,4839,0.6360410094637224,0.6251632709056562,0.6467814316745973,1699,0.22331756046267087,1070,0.14064143007360674,0.4731567391472527,0.32561860851146335,woman,woman_first,
by_abstain_evidence,11412,1826,0.16000701016473887,0.1533951841079309,0.16684766158817615,1776,0.15562565720294427,7810,0.6843673326323169,0.2931245768970271,0.28588496342456754,no_evidence,,with_abstain
by_abstain_evidence,11412,4102,0.3594461969856292,0.3506910543292687,0.3682959365203591,3529,0.309235892043463,3781,0.3313179109709078,0.3524130349469564,0.31214267161602655,man,,with_abstain
by_abstain_evidence,11412,3640,0.31896249561864704,0.3104733713704247,0.3275734634770385,5892,0.5162986330178759,1880,0.16473887136347704,0.3219723082549055,0.40943681435477375,woman,,with_abstain
by_abstain_evidence,3804,2111,0.5549421661409043,0.5391014892553897,0.5706719845151579,1693,0.4450578338590957,0,0.0,0.5091906212325101,0.4908094252415636,no_evidence,,without_abstain
by_abstain_evidence,3804,2083,0.5475814931650894,0.5317241695473317,0.563342810129554,1721,0.45241850683491064,0,0.0,0.5256643891980878,0.4743356401782354,man,,without_abstain
by_abstain_evidence,3804,1667,0.4382229232386961,0.42252548859395217,0.4540450074056713,2137,0.5617770767613038,0,0.0,0.469428691612488,0.530571338271117,woman,,without_abstain
