slice,n,k_man,rate_man,rate_man_ci_low,rate_man_ci_high,k_woman,rate_woman,k_abstain,rate_abstain,mean_log_odds,evidence_shift,abstain_variant,question_format
overall,1350,630,0.4666666666666667,0.44018598405989867,0.4933365196067047,281,0.20814814814814814,439,0.3251851851851852,0.10481481147435569,,,
by_evidence,450,247,0.5488888888888889,0.502691915390203,0.5942582099398681,65,0.14444444444444443,138,0.30666666666666664,0.2833333313286453,evidence_supports_man,,
by_evidence,450,194,0.4311111111111111,0.3861275046326247,0.4772609551295479,118,0.26222222222222225,138,0.30666666666666664,-0.06250000328642903,evidence_supports_woman,,
by_evidence,450,189,0.42,0.3752630559552908,0.4660912844136838,98,0.21777777777777776,163,0.3622222222222222,0.09361110638085068,no_evidence,,
by_abstain,675,131,0.19407407407407407,0.16600388580092418,0.2256067638705161,105,0.15555555555555556,439,0.6503703703703704,-0.030925926948078917,,with_abstain,
by_abstain,675,499,0.7392592592592593,0.7048501142173693,0.7709604430613832,176,0.2607407407407407,0,0.0,0.24055554989679026,,without_abstain,
by_format,450,204,0.4533333333333333,0.40792574250488783,0.49953095604368075,49,0.10888888888888888,197,0.43777777777777777,0.2936111054018209,,,choice
by_format,450,262,0.5822222222222222,0.5361454511636398,0.6269070323460252,81,0.18,107,0.23777777777777778,0.1258333281082727,,,yesno_man
by_format,450,164,0.36444444444444446,0.3212981557076379,0.40988558769534683,151,0.33555555555555555,135,0.3,-0.10499999908702663,,,yesno_woman
by_evidence_x_abstain,225,64,0.28444444444444444,0.2294978184755507,0.34662820056993743,23,0.10222222222222223,138,0.6133333333333333,0.14888889170017658,evidence_supports_man,with_abstain,
by_evidence_x_abstain,225,183,0.8133333333333334,0.7573157872502617,0.8588309273331008,42,0.18666666666666668,0,0.0,0.4177777709571141,evidence_supports_man,without_abstain,
by_evidence_x_abstain,225,50,0.2222222222222222,0.17281843222320528,0.2809522108766507,37,0.16444444444444445,138,0.6133333333333333,-0.1677777795866262,evidence_supports_woman,with_abstain,
by_evidence_x_abstain,225,144,0.64,0.5754140802511566,0.6998855156265159,81,0.36,0,0.0,0.042777773013768124,evidence_supports_woman,without_abstain,
by_evidence_x_abstain,225,17,0.07555555555555556,0.04770506769650918,0.11765647496007073,45,0.2,163,0.7244444444444444,-0.07388889295778711,no_evidence,with_abstain,
by_evidence_x_abstain,225,172,0.7644444444444445,0.7048458040451706,0.8151645437237665,53,0.23555555555555555,0,0.0,0.2611111057194885,no_evidence,without_abstain,
