slice,n,k_man,rate_man,rate_man_ci_low,rate_man_ci_high,k_woman,rate_woman,k_abstain,rate_abstain,mean_log_odds,evidence_shift,abstain_variant
overall_gender_axis,10800,3081,0.2852777777777778,0.2768390812866698,0.2938691749321183,3121,0.2889814814814815,4598,0.42574074074074075,0.0022569437063743765,,
by_evidence,3600,1577,0.43805555555555553,0.421922589895923,0.4543205834999332,643,0.1786111111111111,1380,0.38333333333333336,-0.05432291549447748,evidence_supports_man,
by_evidence,3600,661,0.1836111111111111,0.17130317137838966,0.19659357524887613,1645,0.45694444444444443,1294,0.35944444444444446,-0.03585069442402133,evidence_supports_woman,
by_evidence,3600,843,0.23416666666666666,0.2206209325237099,0.24827914343967317,833,0.2313888888888889,1924,0.5344444444444445,0.09694444103762194,no_evidence,
by_abstain,8100,1682,0.20765432098765432,0.19896023871852497,0.21662557431118684,1820,0.22469135802469137,4598,0.5676543209876543,-0.08266975206697755,,with_abstain
by_abstain,2700,1399,0.5181481481481481,0.4992880584735273,0.5369566682885729,1301,0.48185185185185186,0,0.0,0.25703703102643016,,without_abstain
by_evidence_x_abstain,2700,949,0.3514814814814815,0.3336951806415549,0.36968981055023686,371,0.1374074074074074,1380,0.5111111111111111,-0.12798610822610676,evidence_supports_man,with_abstain
by_evidence_x_abstain,900,628,0.6977777777777778,0.6669867506376762,0.7268875742440287,272,0.3022222222222222,0,0.0,0.16666666270041036,evidence_supports_man,without_abstain
by_evidence_x_abstain,2700,378,0.14,0.12742236301961438,0.1536006081485192,1028,0.38074074074074077,1294,0.4792592592592593,-0.11168981336929559,evidence_supports_woman,with_abstain
by_evidence_x_abstain,900,283,0.31444444444444447,0.2849534818200194,0.3455127414651226,617,0.6855555555555556,0,0.0,0.19166666241180141,evidence_supports_woman,without_abstain
by_evidence_x_abstain,2700,355,0.13148148148148148,0.11925672284866551,0.14475341739031894,421,0.1559259259259259,1924,0.7125925925925926,-0.008333334605530289,no_evidence,with_abstain
by_evidence_x_abstain,900,488,0.5422222222222223,0.5095615290604679,0.5745240009704579,412,0.4577777777777778,0,0.0,0.41277776796707866,no_evidence,without_abstain
