layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,nan,1.0000000000000004,0.26089017963790356,0.0736791898795644,0.005164184206907962,0.0039033705140738622,0.008241454961584987,0.011217295163881686,0.04615048617864116,0.038660681104970465,0.003699178373341323,0.008326640484800052,0.06840002860587652,0.04203089819714469,0.026024863028129876,0.0005009435806505209,0.06297307321268436,0.03395427222890232,0.012232978215151798,0.033265373796565384,0.02592554862264534,0.015758586172376823,0.021283300791310297,0.02121533188426744,-0.0006636360445999743
2,nan,0.26089017963790356,0.9999999999999998,0.24290811091597847,0.06591299610271982,0.015300383966070717,0.018865952548433217,0.010940243407052937,0.03360737803900981,0.011402264126592608,0.043177841587101286,0.012944870160171498,0.06132479955042967,0.03680739154685988,0.054355401530257016,0.007282507920159424,-0.017535198009496433,-0.010785150932265106,-0.0061384331198080086,0.01550187799334534,-0.004153086326927004,-0.0028521166994790598,0.010173717714814984,0.01271293569821402,0.00401764617182604
3,nan,0.0736791898795644,0.24290811091597847,1.0000000000000002,0.25671888762291584,0.14535046763117374,0.06648589162089677,2.1784248430239115e-06,0.04563387680388778,-0.014323765616722321,0.008598236380193544,0.009486294210013957,0.017752263912403594,-0.020041012956067125,0.008425331286860353,0.004749855980916233,-0.0017417462207545333,0.017556896033748104,0.008153511747061963,-0.015050090910129162,-0.019948878007143046,-0.008227527789533468,-0.0012205038950634263,0.010035270586598343,0.0037702509026879424
4,nan,0.005164184206907962,0.06591299610271982,0.25671888762291584,0.9999999999999999,0.2910455378742725,0.13803614279159435,0.1123298491009532,0.06668468114365034,0.012562525274390694,0.018436548980254507,0.03960968344382956,0.0349890605748426,0.024774554255935048,0.03217135716409761,-0.022077396621050002,-0.024788466900295764,-0.0038634497693120036,0.005542315769002511,0.0057210009432793665,-0.016990901293109487,-0.013082156336827928,-0.02170767199833457,0.0018579536173689085,-0.02928806974408006
5,nan,0.0039033705140738622,0.015300383966070717,0.14535046763117374,0.2910455378742725,0.9999999999999998,0.3428743233713862,0.18468878046290224,0.11153525466546006,0.06845924008641792,0.06545729850673095,0.05834608361836048,0.0284062336388822,0.03839478543415358,0.013358938124722733,0.04830028845615297,0.004129606506430171,-0.0035837953893656208,-0.0139026849916068,-0.02635360093042892,0.0008026938021900836,0.006190882009479197,-0.002199747302301146,-0.01211458534169753,0.0012464447520268906
6,nan,0.008241454961584987,0.018865952548433217,0.06648589162089677,0.13803614279159435,0.3428743233713862,0.9999999999999999,0.33469839859173284,0.18946085528887582,0.13232533766889865,0.13015341754525825,0.07961443004790092,0.041523412680565294,0.019712002195810076,0.018016975772506754,-0.00913462463577619,-0.009776249548621491,0.009490484386402844,-0.015038249091207352,-0.01357980242563402,-0.019869121485965403,-0.0002599776243313069,-0.014406743861816064,-0.0012694201563350806,0.026693187288028802
7,nan,0.011217295163881686,0.010940243407052937,2.1784248430239115e-06,0.1123298491009532,0.18468878046290224,0.33469839859173284,1.0000000000000002,0.3872486773343311,0.21278557452300523,0.15418583653385137,0.10412474745283337,0.08165443812952822,0.041427605766583615,0.042840409218502275,0.002791963149711218,-0.012248618307778084,0.00023478491948841166,0.009923036083626921,0.00490117245653095,0.006544431671908519,0.007844178315947206,0.014949440866458089,0.0003633972530952233,0.009881431392405264
8,nan,0.04615048617864116,0.03360737803900981,0.04563387680388778,0.06668468114365034,0.11153525466546006,0.18946085528887582,0.3872486773343311,0.9999999999999998,0.4036428783435787,0.2472291780946955,0.1654929810400926,0.13576300415584713,0.05084408709986001,0.019275750250461684,0.03560744186573987,0.020903380866842267,0.04109892029156956,0.0336881103986203,0.06700006476987716,0.03787851356913251,0.046126294521186446,0.0622174640603783,0.04872274493283743,0.05166967075085781
9,nan,0.038660681104970465,0.011402264126592608,-0.014323765616722321,0.012562525274390694,0.06845924008641792,0.13232533766889865,0.21278557452300523,0.4036428783435787,1.0,0.4432202608135397,0.2680817249227769,0.2060206136564099,0.11669515535225936,0.08661703590138783,0.06652135229623914,0.027837308858677762,0.011688972218192659,0.007220131115680779,0.007918287030305794,0.006113463824352866,0.031412762997622676,0.03688438216964249,0.015840440605869675,0.0075142640776837836
10,nan,0.003699178373341323,0.043177841587101286,0.008598236380193544,0.018436548980254507,0.06545729850673095,0.13015341754525825,0.15418583653385137,0.2472291780946955,0.4432202608135397,1.0000000000000004,0.38831202610620613,0.28123441429746693,0.15230590729635085,0.10423703328904185,0.1025066634241664,0.05104107612452115,0.04407581742066938,0.026494380842769814,0.023057439317040913,0.014660879635624968,0.017180935225306542,0.01609845411016004,0.022891630607773963,0.005594091178019281
11,nan,0.008326640484800052,0.012944870160171498,0.009486294210013957,0.03960968344382956,0.05834608361836048,0.07961443004790092,0.10412474745283337,0.1654929810400926,0.2680817249227769,0.38831202610620613,1.0,0.4452555734462831,0.24873004914948077,0.17516974309960961,0.11024561037492805,0.08779777692290494,0.05870471174050461,0.04602077475205567,0.023180775247458686,0.04708327860961508,0.04291535285090729,0.02703856312768886,0.022729555437583947,0.020566531550446833
12,nan,0.06840002860587652,0.06132479955042967,0.017752263912403594,0.0349890605748426,0.0284062336388822,0.041523412680565294,0.08165443812952822,0.13576300415584713,0.2060206136564099,0.28123441429746693,0.4452555734462831,1.0000000000000002,0.4194772082971422,0.22075832120119832,0.12676773421707058,0.11218708918602595,0.059080880883984305,0.053558678389955906,0.0379480866507824,0.04386702428740178,0.05936215043285704,0.04647140749689585,0.04048686942208543,0.03901368978508106
13,nan,0.04203089819714469,0.03680739154685988,-0.020041012956067125,0.024774554255935048,0.03839478543415358,0.019712002195810076,0.041427605766583615,0.05084408709986001,0.11669515535225936,0.15230590729635085,0.24873004914948077,0.4194772082971422,0.9999999999999998,0.39936090112777084,0.19338497393023132,0.130320562175605,0.07423377919458887,0.05867071959597129,0.04376255714522575,0.04820826278664338,0.02911615715132123,0.004127486353382331,0.022711326482273957,0.006346153500483592
14,nan,0.026024863028129876,0.054355401530257016,0.008425331286860353,0.03217135716409761,0.013358938124722733,0.018016975772506754,0.042840409218502275,0.019275750250461684,0.08661703590138783,0.10423703328904185,0.17516974309960961,0.22075832120119832,0.39936090112777084,0.9999999999999999,0.37698957766268437,0.21759299559376732,0.1714619880798898,0.0954673953363163,0.07936083402185433,0.06574983684081229,0.0847663407702827,0.050911790294798975,0.05890214552852137,0.029030148345328223
15,nan,0.0005009435806505209,0.007282507920159424,0.004749855980916233,-0.022077396621050002,0.04830028845615297,-0.00913462463577619,0.002791963149711218,0.03560744186573987,0.06652135229623914,0.1025066634241664,0.11024561037492805,0.12676773421707058,0.19338497393023132,0.37698957766268437,0.9999999999999998,0.46724895119861454,0.3208919121134253,0.21802998506842175,0.17999337041013125,0.13155761403265054,0.13391834477090717,0.09653685279743351,0.07605764262125662,0.06613885218393135
16,nan,0.06297307321268436,-0.017535198009496433,-0.0017417462207545333,-0.024788466900295764,0.004129606506430171,-0.009776249548621491,-0.012248618307778084,0.020903380866842267,0.027837308858677762,0.05104107612452115,0.08779777692290494,0.11218708918602595,0.130320562175605,0.21759299559376732,0.46724895119861454,1.0,0.5439760026242471,0.38321534443446015,0.2990507891380683,0.19330880605654038,0.15370905911923222,0.13230161236071378,0.10627394574209346,0.1030760895537347
17,nan,0.03395427222890232,-0.010785150932265106,0.017556896033748104,-0.0038634497693120036,-0.0035837953893656208,0.009490484386402844,0.00023478491948841166,0.04109892029156956,0.011688972218192659,0.04407581742066938,0.05870471174050461,0.059080880883984305,0.07423377919458887,0.1714619880798898,0.3208919121134253,0.5439760026242471,1.0,0.6338838002125339,0.4513907887264078,0.31259087714224765,0.26223217466904075,0.2128114888962222,0.1799799842770624,0.1502540434107607
18,nan,0.012232978215151798,-0.0061384331198080086,0.008153511747061963,0.005542315769002511,-0.0139026849916068,-0.015038249091207352,0.009923036083626921,0.0336881103986203,0.007220131115680779,0.026494380842769814,0.04602077475205567,0.053558678389955906,0.05867071959597129,0.0954673953363163,0.21802998506842175,0.38321534443446015,0.6338838002125339,1.0,0.6695302647333398,0.41536143330724085,0.34531903306633477,0.26657675245603374,0.21635248190418574,0.19001877766033584
19,nan,0.033265373796565384,0.01550187799334534,-0.015050090910129162,0.0057210009432793665,-0.02635360093042892,-0.01357980242563402,0.00490117245653095,0.06700006476987716,0.007918287030305794,0.023057439317040913,0.023180775247458686,0.0379480866507824,0.04376255714522575,0.07936083402185433,0.17999337041013125,0.2990507891380683,0.4513907887264078,0.6695302647333398,0.9999999999999999,0.5683322681569414,0.44979760266835966,0.35118545244546284,0.2689800032478929,0.2289400359946337
20,nan,0.02592554862264534,-0.004153086326927004,-0.019948878007143046,-0.016990901293109487,0.0008026938021900836,-0.019869121485965403,0.006544431671908519,0.03787851356913251,0.006113463824352866,0.014660879635624968,0.04708327860961508,0.04386702428740178,0.04820826278664338,0.06574983684081229,0.13155761403265054,0.19330880605654038,0.31259087714224765,0.41536143330724085,0.5683322681569414,1.0000000000000004,0.7527168011580541,0.5870137850293395,0.45574598109790315,0.36990497750831763
21,nan,0.015758586172376823,-0.0028521166994790598,-0.008227527789533468,-0.013082156336827928,0.006190882009479197,-0.0002599776243313069,0.007844178315947206,0.046126294521186446,0.031412762997622676,0.017180935225306542,0.04291535285090729,0.05936215043285704,0.02911615715132123,0.0847663407702827,0.13391834477090717,0.15370905911923222,0.26223217466904075,0.34531903306633477,0.44979760266835966,0.7527168011580541,0.9999999999999997,0.7587738907160023,0.5776345769317075,0.43542820591190656
22,nan,0.021283300791310297,0.010173717714814984,-0.0012205038950634263,-0.02170767199833457,-0.002199747302301146,-0.014406743861816064,0.014949440866458089,0.0622174640603783,0.03688438216964249,0.01609845411016004,0.02703856312768886,0.04647140749689585,0.004127486353382331,0.050911790294798975,0.09653685279743351,0.13230161236071378,0.2128114888962222,0.26657675245603374,0.35118545244546284,0.5870137850293395,0.7587738907160023,1.0,0.7271564780967706,0.5452065614418824
23,nan,0.02121533188426744,0.01271293569821402,0.010035270586598343,0.0018579536173689085,-0.01211458534169753,-0.0012694201563350806,0.0003633972530952233,0.04872274493283743,0.015840440605869675,0.022891630607773963,0.022729555437583947,0.04048686942208543,0.022711326482273957,0.05890214552852137,0.07605764262125662,0.10627394574209346,0.1799799842770624,0.21635248190418574,0.2689800032478929,0.45574598109790315,0.5776345769317075,0.7271564780967706,1.0000000000000002,0.732687193843826
