layer_a,layer_b,cosine
0,0,
0,1,
0,2,
0,3,
0,4,
0,5,
0,6,
0,7,
0,8,
0,9,
0,10,
0,11,
0,12,
0,13,
0,14,
0,15,
0,16,
0,17,
0,18,
0,19,
0,20,
0,21,
0,22,
0,23,
0,24,
1,1,1.0000000000000004
1,2,0.26089017963790356
1,3,0.0736791898795644
1,4,0.005164184206907962
1,5,0.0039033705140738622
1,6,0.008241454961584987
1,7,0.011217295163881686
1,8,0.04615048617864116
1,9,0.038660681104970465
1,10,0.003699178373341323
1,11,0.008326640484800052
1,12,0.06840002860587652
1,13,0.04203089819714469
1,14,0.026024863028129876
1,15,0.0005009435806505209
1,16,0.06297307321268436
1,17,0.03395427222890232
1,18,0.012232978215151798
1,19,0.033265373796565384
1,20,0.02592554862264534
1,21,0.015758586172376823
1,22,0.021283300791310297
1,23,0.02121533188426744
1,24,-0.0006636360445999743
2,2,0.9999999999999998
2,3,0.24290811091597847
2,4,0.06591299610271982
2,5,0.015300383966070717
2,6,0.018865952548433217
2,7,0.010940243407052937
2,8,0.03360737803900981
2,9,0.011402264126592608
2,10,0.043177841587101286
2,11,0.012944870160171498
2,12,0.06132479955042967
2,13,0.03680739154685988
2,14,0.054355401530257016
2,15,0.007282507920159424
2,16,-0.017535198009496433
2,17,-0.010785150932265106
2,18,-0.0061384331198080086
2,19,0.01550187799334534
2,20,-0.004153086326927004
2,21,-0.0028521166994790598
2,22,0.010173717714814984
2,23,0.01271293569821402
2,24,0.00401764617182604
3,3,1.0000000000000002
3,4,0.25671888762291584
3,5,0.14535046763117374
3,6,0.06648589162089677
3,7,2.1784248430239115e-06
3,8,0.04563387680388778
3,9,-0.014323765616722321
3,10,0.008598236380193544
3,11,0.009486294210013957
3,12,0.017752263912403594
3,13,-0.020041012956067125
3,14,0.008425331286860353
3,15,0.004749855980916233
3,16,-0.0017417462207545333
3,17,0.017556896033748104
3,18,0.008153511747061963
3,19,-0.015050090910129162
3,20,-0.019948878007143046
3,21,-0.008227527789533468
3,22,-0.0012205038950634263
3,23,0.010035270586598343
3,24,0.0037702509026879424
4,4,0.9999999999999999
4,5,0.2910455378742725
4,6,0.13803614279159435
4,7,0.1123298491009532
4,8,0.06668468114365034
4,9,0.012562525274390694
4,10,0.018436548980254507
4,11,0.03960968344382956
4,12,0.0349890605748426
4,13,0.024774554255935048
4,14,0.03217135716409761
4,15,-0.022077396621050002
4,16,-0.024788466900295764
4,17,-0.0038634497693120036
4,18,0.005542315769002511
4,19,0.0057210009432793665
4,20,-0.016990901293109487
4,21,-0.013082156336827928
4,22,-0.02170767199833457
4,23,0.0018579536173689085
4,24,-0.02928806974408006
5,5,0.9999999999999998
5,6,0.3428743233713862
5,7,0.18468878046290224
5,8,0.11153525466546006
5,9,0.06845924008641792
5,10,0.06545729850673095
5,11,0.05834608361836048
5,12,0.0284062336388822
5,13,0.03839478543415358
5,14,0.013358938124722733
5,15,0.04830028845615297
5,16,0.004129606506430171
5,17,-0.0035837953893656208
5,18,-0.0139026849916068
5,19,-0.02635360093042892
5,20,0.0008026938021900836
5,21,0.006190882009479197
5,22,-0.002199747302301146
5,23,-0.01211458534169753
5,24,0.0012464447520268906
6,6,0.9999999999999999
6,7,0.33469839859173284
6,8,0.18946085528887582
6,9,0.13232533766889865
6,10,0.13015341754525825
6,11,0.07961443004790092
6,12,0.041523412680565294
6,13,0.019712002195810076
6,14,0.018016975772506754
6,15,-0.00913462463577619
6,16,-0.009776249548621491
6,17,0.009490484386402844
6,18,-0.015038249091207352
6,19,-0.01357980242563402
6,20,-0.019869121485965403
6,21,-0.0002599776243313069
6,22,-0.014406743861816064
6,23,-0.0012694201563350806
6,24,0.026693187288028802
7,7,1.0000000000000002
7,8,0.3872486773343311
7,9,0.21278557452300523
7,10,0.15418583653385137
7,11,0.10412474745283337
7,12,0.08165443812952822
7,13,0.041427605766583615
7,14,0.042840409218502275
7,15,0.002791963149711218
7,16,-0.012248618307778084
7,17,0.00023478491948841166
7,18,0.009923036083626921
7,19,0.00490117245653095
7,20,0.006544431671908519
7,21,0.007844178315947206
7,22,0.014949440866458089
7,23,0.0003633972530952233
7,24,0.009881431392405264
8,8,0.9999999999999998
8,9,0.4036428783435787
8,10,0.2472291780946955
8,11,0.1654929810400926
8,12,0.13576300415584713
8,13,0.05084408709986001
8,14,0.019275750250461684
