layer,train_r2,train_pearson_r,train_mse,val_r2,val_pearson_r,val_mse,test_r2,test_pearson_r,test_mse,n_train,n_val,n_test
0,0.0,nan,0.38134556011967446,-1.1568660720495672e-06,nan,0.3595656854627892,-2.769899478671789e-07,nan,0.41276813639726384,4865,1617,1618
1,0.7803844813475347,0.8836599265199864,0.08374940297149719,0.4210238346678319,0.6841449562143349,0.20817972091822218,0.4655310220136122,0.7028480703194573,0.22061170289836748,4865,1617,1618
2,0.789082111703155,0.8886763723809454,0.08043260025181927,0.4547046979047412,0.7013062479620126,0.19606925225165472,0.5152780775130876,0.7298955613935969,0.20007770919630757,4865,1617,1618
3,0.8249731754901696,0.9086720285287946,0.06674570242866924,0.5757020490043108,0.7690206955309075,0.15256280709548656,0.6180951584281719,0.7906528275320612,0.15763810607252504,4865,1617,1618
4,0.8510341699598362,0.9228073030361073,0.05680745789535851,0.641696684985438,0.8042142596056621,0.12883342802377887,0.6844194353376485,0.829625940433763,0.13026156547773085,4865,1617,1618
5,0.8667984872037465,0.9312924292579374,0.05079580550607528,0.6614894937827078,0.817818179150656,0.12171662139454671,0.7411463220826673,0.8614782990273462,0.10684652063810282,4865,1617,1618
6,0.8751302832646627,0.9357345377108435,0.0476185120704223,0.7081610269097189,0.8435792796815718,0.1049351590080382,0.7547310737527795,0.8697159396554502,0.10123916956099087,4865,1617,1618
7,0.8812609790128428,0.9389848487849815,0.045280598466409236,0.7302569824559113,0.8558964603461864,0.09699022079734565,0.7736269110395884,0.8799941248292976,0.09343957217885893,4865,1617,1618
8,0.8847821237348926,0.9408376097496386,0.043937825560116724,0.7065561225882653,0.8435442233889879,0.10551222686289363,0.7657403413690935,0.875660050198232,0.09669489594262431,4865,1617,1618
9,0.8961238282415875,0.9468160766411231,0.0396127169022993,0.7390944219738126,0.862218605729305,0.0938125844754552,0.794337916124984,0.8915984279393074,0.08489073157478884,4865,1617,1618
10,0.8980105119666346,0.9477917553425548,0.03889323844040257,0.7423329183398621,0.8642068017761678,0.0926481336568415,0.7903937002165333,0.8898572275644957,0.086518777773916,4865,1617,1618
11,0.9045135048580419,0.9511876027271121,0.03641335097377457,0.7507669592168551,0.8686259296497918,0.08961554547598269,0.7990623356948969,0.8948337316746403,0.08294064225351226,4865,1617,1618
12,0.903230590310315,0.9505388243558995,0.03690258474056317,0.7633922796772887,0.8762643747916133,0.08507591872217969,0.8048092850177435,0.8977507684181367,0.08056848534861498,4865,1617,1618
13,0.9128329313765874,0.9555458260345545,0.03324077460818539,0.7792102214404929,0.8841913497456425,0.07938833622925391,0.8185879199682118,0.9049808219079967,0.07488110545335899,4865,1617,1618
14,0.921863982100715,0.9602325888824409,0.029796823511323775,0.8050989579091241,0.8978624757229915,0.07007964572405323,0.8390850804506351,0.9164751656437078,0.06642053306308701,4865,1617,1618
15,0.9403363897658503,0.9697521177523155,0.022752452863503764,0.8523986513416786,0.9236278405111507,0.05307231870799658,0.8794215916536134,0.9381462166145677,0.049770911116844195,4865,1617,1618
16,0.9490108319623253,0.9742115710092827,0.019444492845363266,0.8721006682795559,0.9342975431936028,0.04598815767815481,0.8933522470737674,0.9453071131203931,0.04402078203300278,4865,1617,1618
17,0.948975082628215,0.974193455111383,0.01945812569520346,0.8731790986131028,0.9350121070123336,0.04560039158464259,0.892594430716634,0.9451152321483255,0.044333584391824936,4865,1617,1618
18,0.947668371834499,0.973528907293314,0.019956434054747497,0.872565950246471,0.9347331435202395,0.04582085844233031,0.8934354127805028,0.9452914342564712,0.04398645388873,4865,1617,1618
19,0.9470466649118849,0.9732108659759502,0.02019351922938205,0.8618133106652233,0.9296277925389222,0.04968713419113274,0.8915617847589784,0.9446499383388082,0.04475982762125956,4865,1617,1618
20,0.9531132114539581,0.9763147256478525,0.017880068640303066,0.8733135037235946,0.9355032047766386,0.04555206417486723,0.8947961405811866,0.9463450764985214,0.0434247889658733,4865,1617,1618
21,0.9538515724666329,0.976687436486156,0.017598497946354087,0.8804672680548947,0.9387395170666958,0.042979818975187274,0.8913768033329287,0.9443863703093865,0.04483618203860879,4865,1617,1618
22,0.9527623972685316,0.9761277324114139,0.01801385007234248,0.8816281347162369,0.9392718837325764,0.04256241164125525,0.8913679601901847,0.9444928198895076,0.044839832205148075,4865,1617,1618
23,0.953637297270129,0.9765731291947785,0.017680210841184603,0.8803040666820825,0.9386749150851228,0.04303850052078425,0.8940550730348505,0.9458856628022289,0.043730677951190774,4865,1617,1618
24,0.9495317397072408,0.9744696565970716,0.019245846989607775,0.870908057121652,0.9337637322644184,0.04641697923054801,0.8862826836979898,0.9419840374570773,0.046938871724483335,4865,1617,1618
