layer,train_silhouette,val_silhouette,test_silhouette
0,0.0,0.0,0.0
1,0.001885092817246914,0.0006203860975801945,0.0021393795032054186
2,0.0022987828124314547,0.001635837834328413,0.0018509431974962354
3,0.001800612430088222,0.0017469445010647178,0.0009876105468720198
4,0.0020859576761722565,0.0016073081642389297,0.001264987513422966
5,0.0018399909604340792,0.0015560417668893933,0.000896180048584938
6,0.0018654207233339548,0.0016445883084088564,0.0006952557014301419
7,0.002176644979044795,0.0017511617625132203,0.0005623055039905012
8,0.0021894618403166533,0.0017858744831755757,0.0005972986691631377
9,0.0020769794937223196,0.0015229880809783936,0.0005472343182191253
10,0.0018513788236305118,0.0014029714511707425,0.00032876513432711363
11,0.0018167031230404973,0.00139326392672956,0.000378189142793417
12,0.0017180859576910734,0.001283440855331719,0.0003388314798939973
13,0.0017087894957512617,0.0012327524600550532,0.0004875723388977349
14,0.0019895394798368216,0.0016542611410841346,0.0008107373723760247
15,0.0033300614450126886,0.0030873746145516634,0.0021859838161617517
16,0.004151076078414917,0.0038151019252836704,0.0027287881821393967
17,0.0041849566623568535,0.003841937053948641,0.002983417361974716
18,0.003594447625800967,0.0032329116947948933,0.0024601956829428673
19,0.00348486821167171,0.003315717913210392,0.0024073547683656216
20,0.009752050042152405,0.00975186750292778,0.008150940760970116
21,0.01048953551799059,0.01063463743776083,0.009056994691491127
22,0.009883509017527103,0.009930839762091637,0.008496101945638657
23,0.008936004713177681,0.009157612919807434,0.007666103541851044
24,0.009241033345460892,0.009448175318539143,0.008111480623483658
