layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,nan,0.9999999999999999,0.20394641815103,0.11359156584767985,0.07755082380879649,0.047084933036595514,0.034975519730203034,0.041704150394270785,0.054067795475529826,-0.006147446463906778,-0.014471391771761885,0.009423264384190394,-0.012428403517656365,0.004648922089369882,0.002630734042994144,-0.0041459869740841935,0.012644604320105154,-0.014897266495839116,-0.030995715983148316,-0.018566464040558874,-0.03165990647678013,-0.012130290047279642,-0.0025322822624064506,0.014514766113832945,0.0009711032808870763
2,nan,0.20394641815103,1.0,0.2790394321073495,0.1268894728985305,0.0457334453095972,-0.012753305798755587,0.03348786725921582,-0.008826035607601453,0.009474820055400384,0.006215949161698537,0.05028706057476162,0.006530475525399756,0.022887241634188545,0.009480997936686629,0.00806399717536517,0.012571568865233087,0.0036723995953504844,0.02540311425959921,0.032677476494524973,0.008399085844094203,0.01527478050479138,0.0290122151919438,0.013772872342384756,0.016141668417738987
3,nan,0.11359156584767985,0.2790394321073495,0.9999999999999998,0.3080023009937792,0.1303359097113651,0.05970971436177174,0.029647992590222157,0.027457625351890683,0.029159732893166576,0.02026991680276401,-0.014720323006582351,-0.03207611707823417,0.014440060032129949,0.03058899843593926,0.026973607402596855,0.02497863040921324,-0.02332420622259091,0.0008159215994002086,0.008505749446713819,-0.008000644243004066,0.003382775871459351,0.0035821542677931546,-0.00644884092202031,0.0018455317049239145
4,nan,0.07755082380879649,0.1268894728985305,0.3080023009937792,1.0,0.326399891402662,0.1308398524534506,0.0817908646641887,0.06331826177321973,0.04947410493772616,0.028403274954758546,0.04735255506338939,0.02956686147139054,0.04753616665758549,0.07117493339248679,0.04677602106770636,0.023001158924932798,0.02298093708902011,0.014682660830301446,0.023337026861474233,-0.012328851253710693,-0.016424355054655924,-0.021096405538250693,-0.018752220531180662,-0.004242105150257323
5,nan,0.047084933036595514,0.0457334453095972,0.1303359097113651,0.326399891402662,0.9999999999999994,0.37063776228769413,0.20359998809634938,0.13214556439008637,0.09516774435986641,0.08945887477240515,0.07017452846967652,0.03837313908851157,0.024534211411336646,0.04310101922284433,-0.004025023747061632,0.005181992671237507,0.015135946589118446,-0.0016804666744188197,0.02028623764022127,0.020042499548990497,0.024519252253488867,0.03556417229844531,0.01378442282589277,0.030328073517000755
6,nan,0.034975519730203034,-0.012753305798755587,0.05970971436177174,0.1308398524534506,0.37063776228769413,1.0000000000000002,0.40219753482135506,0.2549248907708286,0.1732829278562241,0.16514362575330013,0.11924514704922767,0.07195723890442189,0.038092434746821585,0.06289214150047874,0.046237679879185874,0.01812776764184257,0.023652378285942285,0.03198172151761057,0.019807301264182134,0.007726925519067642,0.03372121910924763,0.029807382122119953,0.02701278741564115,0.019028197271407168
7,nan,0.041704150394270785,0.03348786725921582,0.029647992590222157,0.0817908646641887,0.20359998809634938,0.40219753482135506,1.0000000000000004,0.4447665993399731,0.21884979942244953,0.20804545909169878,0.1772326063122332,0.12601784325925477,0.07540397441457464,0.06086482547184563,0.03595183550895654,0.02679673661424132,0.05816947869140568,0.0570496426600177,0.06364152937811274,0.02075490009682958,0.03464574024823935,0.020807823944628698,0.0250289500303782,0.02581832488984685
8,nan,0.054067795475529826,-0.008826035607601453,0.027457625351890683,0.06331826177321973,0.13214556439008637,0.2549248907708286,0.4447665993399731,1.0,0.3889678243751083,0.2638860006902991,0.16210158273750055,0.11830352276063358,0.08961053107488268,0.04695131075401901,0.05048345972424956,0.009504050913108329,0.03032102178702211,0.018886078752925126,0.04464100487068955,0.03351966231594227,0.03256416469448466,0.028507657222250973,0.020004903051894424,-0.008112906127415012
9,nan,-0.006147446463906778,0.009474820055400384,0.029159732893166576,0.04947410493772616,0.09516774435986641,0.1732829278562241,0.21884979942244953,0.3889678243751083,1.0,0.48372317020803296,0.3047127833599439,0.2128742531421947,0.19292401981858248,0.13545136475194264,0.03778227574446506,0.04442954768444055,0.05637195406182425,0.05133424411683322,0.05053757703652625,0.038019413921755424,0.04698909130103809,0.031786999759337076,0.005152156090702442,-0.03179428986666752
10,nan,-0.014471391771761885,0.006215949161698537,0.02026991680276401,0.028403274954758546,0.08945887477240515,0.16514362575330013,0.20804545909169878,0.2638860006902991,0.48372317020803296,0.9999999999999996,0.4759633151602614,0.3348854165599456,0.22710806455114557,0.1461043975851504,0.0742648272100949,0.07993847940058536,0.0671983018170637,0.046980088665840185,0.031195999051347716,0.04329230605531849,0.04581733397146013,0.03532287557668322,0.022709915415604683,-0.006916701272544151
11,nan,0.009423264384190394,0.05028706057476162,-0.014720323006582351,0.04735255506338939,0.07017452846967652,0.11924514704922767,0.1772326063122332,0.16210158273750055,0.3047127833599439,0.4759633151602614,1.0,0.5124272358861814,0.3213915854409463,0.19466065727728488,0.0866750571203189,0.09144448982785942,0.07537819738305906,0.06764001039939133,0.06356509806310386,0.05982960496886922,0.045326561343900444,0.031169758118973795,-0.005656036687909639,-0.017747989273464687
12,nan,-0.012428403517656365,0.006530475525399756,-0.03207611707823417,0.02956686147139054,0.03837313908851157,0.07195723890442189,0.12601784325925477,0.11830352276063358,0.2128742531421947,0.3348854165599456,0.5124272358861814,0.9999999999999998,0.51766604646247,0.29222183912416955,0.15846992656756917,0.11600519058707645,0.11965160953254726,0.09220422251931452,0.09035892947003271,0.06589649301577849,0.04900817343039557,0.03202473107571003,0.02166422708517065,-0.006773755375400082
13,nan,0.004648922089369882,0.022887241634188545,0.014440060032129949,0.04753616665758549,0.024534211411336646,0.038092434746821585,0.07540397441457464,0.08961053107488268,0.19292401981858248,0.22710806455114557,0.3213915854409463,0.51766604646247,0.9999999999999997,0.443501673308643,0.23188919095749252,0.1566411094710135,0.12292262134643908,0.11091792988702134,0.08620493219081257,0.07740409456440105,0.07078112042852114,0.02957819350918447,0.016948216394197642,0.0001653969113429958
14,nan,0.002630734042994144,0.009480997936686629,0.03058899843593926,0.07117493339248679,0.04310101922284433,0.06289214150047874,0.06086482547184563,0.04695131075401901,0.13545136475194264,0.1461043975851504,0.19466065727728488,0.29222183912416955,0.443501673308643,1.0000000000000002,0.43035666492689556,0.2597117929953431,0.21448470507233314,0.18954844797716078,0.14972404116649865,0.13341242393320346,0.12638757640688503,0.0894300216314835,0.07554230098802187,0.034416546540154414
15,nan,-0.0041459869740841935,0.00806399717536517,0.026973607402596855,0.04677602106770636,-0.004025023747061632,0.046237679879185874,0.03595183550895654,0.05048345972424956,0.03778227574446506,0.0742648272100949,0.0866750571203189,0.15846992656756917,0.23188919095749252,0.43035666492689556,0.9999999999999998,0.5392603806148649,0.3330286011423614,0.27357990198392423,0.23526637016911478,0.17046600433742357,0.1334625715569284,0.1024899543746718,0.0881797718915975,0.07361276448072807
