layer_a,layer_b,cosine
0,0,
0,1,
0,2,
0,3,
0,4,
0,5,
0,6,
0,7,
0,8,
0,9,
0,10,
0,11,
0,12,
0,13,
0,14,
0,15,
0,16,
0,17,
0,18,
0,19,
0,20,
0,21,
0,22,
0,23,
0,24,
1,1,0.9999999999999999
1,2,0.20394641815103
1,3,0.11359156584767985
1,4,0.07755082380879649
1,5,0.047084933036595514
1,6,0.034975519730203034
1,7,0.041704150394270785
1,8,0.054067795475529826
1,9,-0.006147446463906778
1,10,-0.014471391771761885
1,11,0.009423264384190394
1,12,-0.012428403517656365
1,13,0.004648922089369882
1,14,0.002630734042994144
1,15,-0.0041459869740841935
1,16,0.012644604320105154
1,17,-0.014897266495839116
1,18,-0.030995715983148316
1,19,-0.018566464040558874
1,20,-0.03165990647678013
1,21,-0.012130290047279642
1,22,-0.0025322822624064506
1,23,0.014514766113832945
1,24,0.0009711032808870763
2,2,1.0
2,3,0.2790394321073495
2,4,0.1268894728985305
2,5,0.0457334453095972
2,6,-0.012753305798755587
2,7,0.03348786725921582
2,8,-0.008826035607601453
2,9,0.009474820055400384
2,10,0.006215949161698537
2,11,0.05028706057476162
2,12,0.006530475525399756
2,13,0.022887241634188545
2,14,0.009480997936686629
2,15,0.00806399717536517
2,16,0.012571568865233087
2,17,0.0036723995953504844
2,18,0.02540311425959921
2,19,0.032677476494524973
2,20,0.008399085844094203
2,21,0.01527478050479138
2,22,0.0290122151919438
2,23,0.013772872342384756
2,24,0.016141668417738987
3,3,0.9999999999999998
3,4,0.3080023009937792
3,5,0.1303359097113651
3,6,0.05970971436177174
3,7,0.029647992590222157
3,8,0.027457625351890683
3,9,0.029159732893166576
3,10,0.02026991680276401
3,11,-0.014720323006582351
3,12,-0.03207611707823417
3,13,0.014440060032129949
3,14,0.03058899843593926
3,15,0.026973607402596855
3,16,0.02497863040921324
3,17,-0.02332420622259091
3,18,0.0008159215994002086
3,19,0.008505749446713819
3,20,-0.008000644243004066
3,21,0.003382775871459351
3,22,0.0035821542677931546
3,23,-0.00644884092202031
3,24,0.0018455317049239145
4,4,1.0
4,5,0.326399891402662
4,6,0.1308398524534506
4,7,0.0817908646641887
4,8,0.06331826177321973
4,9,0.04947410493772616
4,10,0.028403274954758546
4,11,0.04735255506338939
4,12,0.02956686147139054
4,13,0.04753616665758549
4,14,0.07117493339248679
4,15,0.04677602106770636
4,16,0.023001158924932798
4,17,0.02298093708902011
4,18,0.014682660830301446
4,19,0.023337026861474233
4,20,-0.012328851253710693
4,21,-0.016424355054655924
4,22,-0.021096405538250693
4,23,-0.018752220531180662
4,24,-0.004242105150257323
5,5,0.9999999999999994
5,6,0.37063776228769413
5,7,0.20359998809634938
5,8,0.13214556439008637
5,9,0.09516774435986641
5,10,0.08945887477240515
5,11,0.07017452846967652
5,12,0.03837313908851157
5,13,0.024534211411336646
5,14,0.04310101922284433
5,15,-0.004025023747061632
5,16,0.005181992671237507
5,17,0.015135946589118446
5,18,-0.0016804666744188197
5,19,0.02028623764022127
5,20,0.020042499548990497
5,21,0.024519252253488867
5,22,0.03556417229844531
5,23,0.01378442282589277
5,24,0.030328073517000755
6,6,1.0000000000000002
6,7,0.40219753482135506
6,8,0.2549248907708286
6,9,0.1732829278562241
6,10,0.16514362575330013
6,11,0.11924514704922767
6,12,0.07195723890442189
6,13,0.038092434746821585
6,14,0.06289214150047874
6,15,0.046237679879185874
6,16,0.01812776764184257
6,17,0.023652378285942285
6,18,0.03198172151761057
6,19,0.019807301264182134
6,20,0.007726925519067642
6,21,0.03372121910924763
6,22,0.029807382122119953
6,23,0.02701278741564115
6,24,0.019028197271407168
7,7,1.0000000000000004
7,8,0.4447665993399731
7,9,0.21884979942244953
7,10,0.20804545909169878
7,11,0.1772326063122332
7,12,0.12601784325925477
7,13,0.07540397441457464
7,14,0.06086482547184563
7,15,0.03595183550895654
7,16,0.02679673661424132
7,17,0.05816947869140568
7,18,0.0570496426600177
7,19,0.06364152937811274
7,20,0.02075490009682958
7,21,0.03464574024823935
7,22,0.020807823944628698
7,23,0.0250289500303782
7,24,0.02581832488984685
8,8,1.0
8,9,0.3889678243751083
8,10,0.2638860006902991
8,11,0.16210158273750055
8,12,0.11830352276063358
8,13,0.08961053107488268
8,14,0.04695131075401901
8,15,0.05048345972424956
8,16,0.009504050913108329
8,17,0.03032102178702211
