layer,train_r2,train_pearson_r,train_mse,val_r2,val_pearson_r,val_mse,test_r2,test_pearson_r,test_mse,n_train,n_val,n_test
0,0.0,nan,0.4102089409178432,-0.008288648478102845,nan,0.4354322935452649,-5.507481404265491e-07,nan,0.4185258020146757,1615,543,542
1,0.9559361649535698,0.9792720088625525,0.01807537910717467,0.34927590208228854,0.6522545832842419,0.28101703500199243,0.25160177939637274,0.6141334990846634,0.3132237929970677,1615,543,542
2,0.9406309428623414,0.9717327784302775,0.024353718051729843,0.4889345950281063,0.7173639665570541,0.2207050349862033,0.45597743489512643,0.7127121658729518,0.22768735497621095,1615,543,542
3,0.9388866611593922,0.9705280093809201,0.025069238001759028,0.540549922270852,0.7542398355725046,0.19841481049808515,0.5315389584787628,0.75271200865262,0.19606292513401466,1615,543,542
4,0.9462532685809659,0.9739332540092844,0.022047389773197725,0.6305856991502864,0.8042045830681207,0.15953260659058646,0.60877082959669,0.791071504493853,0.16373941213540472,1615,543,542
5,0.9483967739607427,0.9747335649067849,0.021168104701507803,0.6727719848079746,0.8313772654543976,0.14131434027586673,0.6349409499675167,0.8126785416405237,0.15278654755065374,1615,543,542
6,0.9552737039713689,0.9780516080308536,0.018347126525082694,0.6981187233268995,0.8469575975268318,0.13036827983588625,0.6606581694781236,0.825744981560847,0.14202323355726468,1615,543,542
7,0.9586111891595426,0.979710589522072,0.016978060260712986,0.7015230032072903,0.8513734821803943,0.1288981319784984,0.6890304709428624,0.8380589492016323,0.13014869987161007,1615,543,542
8,0.9614048561933481,0.981059432654846,0.015832073065498522,0.7039089072854583,0.8555065746053925,0.12786777258041945,0.719815478953158,0.8570214453761328,0.11726438680008434,1615,543,542
9,0.963110487209653,0.9818335238779818,0.015132407972703509,0.7400683982537117,0.8698983072651227,0.11225219453191004,0.7319978659506248,0.8608689782526199,0.11216574631958318,1615,543,542
10,0.9677121718062159,0.9841243877852268,0.01324475580790945,0.7568503943374832,0.8757647428273626,0.10500484224241043,0.7435799597337116,0.8692759861935322,0.10731834389970543,1615,543,542
11,0.9727986951906187,0.9866324956967898,0.011158218437439754,0.7697535798475024,0.8839462109675821,0.09943256522714494,0.7682904407479972,0.8812965047293085,0.09697637571085288,1615,543,542
12,0.9746720748100026,0.9875323589428718,0.010389741367835208,0.7571430746308535,0.8749866137512552,0.10487844743313622,0.7639697185543493,0.8785270733449327,0.0987847084362961,1615,543,542
13,0.9781386234707325,0.9892707569729441,0.008967732113076983,0.7895016680806121,0.8919302093501792,0.09090429768643982,0.7815825355366742,0.8897149977781855,0.09141329414282359,1615,543,542
14,0.9787828041985778,0.9895642599075952,0.008703483418947907,0.8201916933996639,0.9073700192162972,0.07765072378792616,0.8135503221395461,0.9059407760817242,0.07803395798486712,1615,543,542
15,0.9863149136390738,0.9932275898462285,0.005613744782484759,0.8758056429587493,0.9362244305401378,0.05363368298698618,0.8751517829426636,0.9378041823781132,0.0522521713962378,1615,543,542
16,0.9874188219215575,0.9937675454890863,0.0051609117350567,0.8889635050646746,0.9439349587722446,0.047951423166266015,0.9007558238802528,0.9498432264531292,0.041536225529803975,1615,543,542
17,0.9863915133313236,0.9932579890367523,0.005582322903852331,0.8956662082701105,0.9474616743767835,0.04505684190315113,0.8973817836282607,0.9480525780465636,0.04294834765457512,1615,543,542
18,0.9865777642734077,0.9933682803892456,0.005505921102155069,0.8837384506818284,0.9415759523814063,0.05020787762229456,0.8892489788181324,0.944967786503053,0.04635213443573362,1615,543,542
19,0.9867687153495412,0.9934597812839885,0.0054275912634471875,0.8848773802016715,0.9414988055811311,0.04971602770038955,0.8842780834486514,0.9413821387371811,0.048432581261174466,1615,543,542
20,0.9892560974127601,0.9946885287325735,0.004407244901636162,0.9115379137274974,0.9553566372280767,0.03820260118526112,0.9007270946823196,0.9504963372843935,0.041548249433788056,1615,543,542
21,0.9894819349624197,0.9947990221041061,0.00431460431957083,0.9081037753289398,0.9532592767243787,0.039685643527841145,0.8990229201443903,0.9494960233585278,0.04226149005623193,1615,543,542
22,0.9898513328041911,0.9949761102473499,0.004163074022120426,0.9108214635406988,0.9550334433959703,0.038512002216919604,0.902261238193467,0.9514719334716628,0.04090617114400285,1615,543,542
23,0.9899283191209778,0.9950138330824759,0.004131493546646182,0.9082505906538326,0.9536890644754595,0.03962224091615631,0.8986260324796188,0.9496837989742092,0.04242759769295669,1615,543,542
24,0.9891389930395611,0.9946247120206596,0.004455282162542973,0.8985908497884063,0.9488162186119599,0.04379382722374216,0.8977232367130616,0.9489981626753197,0.042805440807114056,1615,543,542
