layer,train_silhouette,val_silhouette,test_silhouette
0,0.0,0.0,0.0
1,0.0047413865104317665,0.0041633532382547855,0.004122728016227484
2,0.004685693420469761,0.004222158342599869,0.0059677232056856155
3,0.006848543882369995,0.007398507092148066,0.006649603135883808
4,0.0041510723531246185,0.004962571430951357,0.0040243868716061115
5,0.003152925753965974,0.0043469564989209175,0.0033801812678575516
6,0.0031453436240553856,0.004294981248676777,0.0045220633037388325
7,0.0029610530473291874,0.004674301017075777,0.004661423619836569
8,0.0027302331291139126,0.0042861816473305225,0.004500448703765869
9,0.0029605086892843246,0.004213152453303337,0.0044787051156163216
10,0.002836148953065276,0.004241152200847864,0.0042988876812160015
11,0.0026687639765441418,0.004011961631476879,0.004315275698900223
12,0.0027065423782914877,0.0038883357774466276,0.004434848669916391
13,0.00236725015565753,0.003421768546104431,0.003942021634429693
14,0.002195109147578478,0.003104848088696599,0.0029086966533213854
15,0.003045689780265093,0.003938857465982437,0.0033725807443261147
16,0.003921307623386383,0.005190829746425152,0.004204792436212301
17,0.0032852354925125837,0.0042774430476129055,0.0032451781444251537
18,0.0028332388028502464,0.0036075343377888203,0.002276430372148752
19,0.0025692577473819256,0.003688617842271924,0.0020969570614397526
20,0.005273529794067144,0.005501459818333387,0.005822028499096632
21,0.005370557773858309,0.0055544194765388966,0.006139589007943869
22,0.004982930142432451,0.005077475681900978,0.005489095579832792
23,0.00462621683254838,0.004812303464859724,0.004940005950629711
24,0.00516291381791234,0.004739928059279919,0.00479478482156992
