layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,nan,1.0000000000000004,0.20165421877222858,0.062944191420889,0.03605247179725208,0.04723045643518922,0.017678628670024347,0.048411685964404386,0.028397092276772277,0.0028520244016624124,-0.008537695795322531,-0.004711991543663331,0.0010774040188411974,0.0020672057287309635,0.0021483480479573477,-0.009809737276230617,0.025191205559861853,-5.74353008978728e-06,0.023731535731016933,0.0280302827594287,0.009969150383643934,-0.0067368723450865736,-0.018712909035765217,-0.01566320925012577,-0.0013674017222919748
2,nan,0.20165421877222858,1.0000000000000002,0.27737837805056487,0.10772300307086591,0.04227467004636648,0.07232720059326646,0.02414497190310145,-0.021960883831721803,0.006941710201925503,-0.011321287348944047,0.00910432377371217,0.005326288754414066,-0.02740813645439104,0.010273819229319381,0.016944483052596125,0.06471814745726098,0.07907797076645795,0.05773982107856171,0.04645664805500824,0.03612388679740044,0.02154477701988415,0.030007971926992286,0.020818758594706988,0.010195056737617112
3,nan,0.062944191420889,0.27737837805056487,1.0,0.34738915316278685,0.1578343652437814,0.08103643198537692,0.05028505040054265,0.055666033733794036,0.019629841067630775,-0.010311075275702443,0.01503516562143907,0.003015444725737072,-0.011568673219795038,0.03985459898412925,0.04131597133903944,0.019534895895089152,0.05221524986570357,0.029065469298985198,0.004355790997789627,0.012237845894683646,-0.0034043871781517356,-0.0066971262843082465,-0.003569500242816416,0.00914108641393321
4,nan,0.03605247179725208,0.10772300307086591,0.34738915316278685,0.9999999999999998,0.3314364272003219,0.17217230835263742,0.11687334146095668,0.12249710959147575,0.058610865931418114,0.02444100326390868,0.023758642831952254,0.0243822473024383,-0.026942857902353474,0.019096189065081284,0.010290511726408012,-0.0007891370220384488,0.021885332275190576,-0.00426057303983008,0.009742989587246953,0.03040681712284105,0.024115754935773424,0.0029251659180682095,0.014426308300546746,-0.0008112041295448022
5,nan,0.04723045643518922,0.04227467004636648,0.1578343652437814,0.3314364272003219,1.0000000000000004,0.35120514328908736,0.1927428541370912,0.14195831732308406,0.07076426340839248,0.04299989208197447,0.04366560369548675,0.036181948990330726,0.010209487733219644,-0.0005077347168574303,0.015598213571161942,-0.012415385808738194,0.021982790247935008,0.010176655036145744,0.0036026096083930457,0.01494497629551365,-0.004313099183455926,-0.005067900639208528,0.0016380111983206993,-0.011153438438285784
6,nan,0.017678628670024347,0.07232720059326646,0.08103643198537692,0.17217230835263742,0.35120514328908736,1.0,0.39146771277795667,0.25916996692773686,0.1453171177309725,0.11330219892453149,0.06394753083010447,0.040294879653967434,0.05043430104197999,0.06819319378545459,0.03580254030898882,0.00433145731967117,0.01571393241672825,0.017883074252382104,0.0044280285770259935,0.020067151668240246,-0.00924378505790023,0.009525443794787371,0.019577033545986108,0.0017913707717639258
7,nan,0.048411685964404386,0.02414497190310145,0.05028505040054265,0.11687334146095668,0.1927428541370912,0.39146771277795667,0.9999999999999998,0.47530769743199464,0.2345977770235861,0.1556476893752384,0.09343234059475053,0.06309700152088858,0.04107764878427264,0.05967335750574294,0.021331082621638128,-0.027028942036038825,-0.012230999061004335,0.018649409525105083,0.02127258936319075,0.0067000460255440064,-0.004477151737575418,0.009733815557501253,0.010740177390453472,0.021967701882901362
8,nan,0.028397092276772277,-0.021960883831721803,0.055666033733794036,0.12249710959147575,0.14195831732308406,0.25916996692773686,0.47530769743199464,0.9999999999999999,0.3791229860411727,0.2186351754752856,0.14286646399314057,0.1208166599996688,0.08365897859974976,0.07524835586504655,0.046717853293742506,-0.012321859679876587,-0.023413585474050386,0.002235585757413564,-0.014723702976805107,0.02850180699487115,0.008406758468140384,0.002215976238481551,0.003767152319496655,0.026568957004442235
9,nan,0.0028520244016624124,0.006941710201925503,0.019629841067630775,0.058610865931418114,0.07076426340839248,0.1453171177309725,0.2345977770235861,0.3791229860411727,1.0000000000000002,0.4637364464992295,0.2629055052765036,0.1323947391613405,0.10164472664847049,0.07574853650128784,0.015176410053587303,0.0003530691840187821,0.0010147653958901548,-0.027561407315965795,-0.0641520774846932,-0.03711038068988236,-0.039995933167804566,-0.04163298154292938,-0.02838306506154465,-0.011974916273416587
10,nan,-0.008537695795322531,-0.011321287348944047,-0.010311075275702443,0.02444100326390868,0.04299989208197447,0.11330219892453149,0.1556476893752384,0.2186351754752856,0.4637364464992295,1.0,0.45329842721782365,0.23038379872271889,0.16516104062865986,0.08679696691188081,0.05145778647536519,-0.006044115752527564,-0.01952926969860407,-0.044927322686861844,-0.03756982333592768,-0.023625020321901627,-0.009633585211363245,-0.011794693281042257,-0.02341488268598047,-0.00657815542478795
11,nan,-0.004711991543663331,0.00910432377371217,0.01503516562143907,0.023758642831952254,0.04366560369548675,0.06394753083010447,0.09343234059475053,0.14286646399314057,0.2629055052765036,0.45329842721782365,1.0000000000000002,0.4542316189379358,0.2889284850220502,0.13452690446713578,0.08034438364256606,0.028561860161970702,-0.014912430441852307,-0.02122205803797217,-0.03324992505511208,0.01291387287843326,-0.004719050486722991,0.013800832101470522,0.014127866001724982,0.04056300294783945
12,nan,0.0010774040188411974,0.005326288754414066,0.003015444725737072,0.0243822473024383,0.036181948990330726,0.040294879653967434,0.06309700152088858,0.1208166599996688,0.1323947391613405,0.23038379872271889,0.4542316189379358,0.9999999999999999,0.4889332700973803,0.2064023076711584,0.07643347940782413,0.018331250926167744,0.0005394656522728415,0.0022463432839258547,-0.004179202711505903,-0.004353064331530692,0.021541398021693463,0.021729025811017176,0.014099313076145606,0.02673510023645699
13,nan,0.0020672057287309635,-0.02740813645439104,-0.011568673219795038,-0.026942857902353474,0.010209487733219644,0.05043430104197999,0.04107764878427264,0.08365897859974976,0.10164472664847049,0.16516104062865986,0.2889284850220502,0.4889332700973803,1.0,0.3370363037156139,0.1349223914753476,0.021507265104558804,0.020416049505198437,0.009294451398892829,-0.0006910959452039456,0.007060610980366398,0.016346584061353926,0.009971644656742364,0.02044592329587638,0.029652410684061645
14,nan,0.0021483480479573477,0.010273819229319381,0.03985459898412925,0.019096189065081284,-0.0005077347168574303,0.06819319378545459,0.05967335750574294,0.07524835586504655,0.07574853650128784,0.08679696691188081,0.13452690446713578,0.2064023076711584,0.3370363037156139,1.0000000000000002,0.32488509083964867,0.07410933745937436,0.013191815483313253,0.03383303850831837,0.02961179174716308,0.0310366497624762,0.016881869758415033,0.008871865747671941,0.02396732128301287,0.015199295893792163
15,nan,-0.009809737276230617,0.016944483052596125,0.04131597133903944,0.010290511726408012,0.015598213571161942,0.03580254030898882,0.021331082621638128,0.046717853293742506,0.015176410053587303,0.05145778647536519,0.08034438364256606,0.07643347940782413,0.1349223914753476,0.32488509083964867,1.0,0.2527128755602487,0.1268030165894875,0.10818044388363465,0.10335907821872542,0.053605389817811794,0.0762557464023328,0.0770953464081879,0.051000080941717985,0.034775065978077044
16,nan,0.025191205559861853,0.06471814745726098,0.019534895895089152,-0.0007891370220384488,-0.012415385808738194,0.00433145731967117,-0.027028942036038825,-0.012321859679876587,0.0003530691840187821,-0.006044115752527564,0.028561860161970702,0.018331250926167744,0.021507265104558804,0.07410933745937436,0.2527128755602487,0.9999999999999998,0.5195118577607678,0.372794371765405,0.29114082199333624,0.18907516469305435,0.16626779598429353,0.1564856425455934,0.13623387919542568,0.08092689929132497
17,nan,-5.74353008978728e-06,0.07907797076645795,0.05221524986570357,0.021885332275190576,0.021982790247935008,0.01571393241672825,-0.012230999061004335,-0.023413585474050386,0.0010147653958901548,-0.01952926969860407,-0.014912430441852307,0.0005394656522728415,0.020416049505198437,0.013191815483313253,0.1268030165894875,0.5195118577607678,1.0,0.6536723711638709,0.47726187080322785,0.3248692260784678,0.26761545517625096,0.23055532906584392,0.2124028911429094,0.1636579632416524
18,nan,0.023731535731016933,0.05773982107856171,0.029065469298985198,-0.00426057303983008,0.010176655036145744,0.017883074252382104,0.018649409525105083,0.002235585757413564,-0.027561407315965795,-0.044927322686861844,-0.02122205803797217,0.0022463432839258547,0.009294451398892829,0.03383303850831837,0.10818044388363465,0.372794371765405,0.6536723711638709,1.0,0.6955783069889617,0.43295565024548033,0.3785524420568413,0.3095410767503358,0.26542418024360137,0.2021881606493018
19,nan,0.0280302827594287,0.04645664805500824,0.004355790997789627,0.009742989587246953,0.0036026096083930457,0.0044280285770259935,0.02127258936319075,-0.014723702976805107,-0.0641520774846932,-0.03756982333592768,-0.03324992505511208,-0.004179202711505903,-0.0006910959452039456,0.02961179174716308,0.10335907821872542,0.29114082199333624,0.47726187080322785,0.6955783069889617,0.9999999999999997,0.5733445812016688,0.48851893480692593,0.39626406140736126,0.3252789982307436,0.24041671254779312
20,nan,0.009969150383643934,0.03612388679740044,0.012237845894683646,0.03040681712284105,0.01494497629551365,0.020067151668240246,0.0067000460255440064,0.02850180699487115,-0.03711038068988236,-0.023625020321901627,0.01291387287843326,-0.004353064331530692,0.007060610980366398,0.0310366497624762,0.053605389817811794,0.18907516469305435,0.3248692260784678,0.43295565024548033,0.5733445812016688,1.0000000000000002,0.7677331049444371,0.6016843808245161,0.463051909837515,0.344445029969639
21,nan,-0.0067368723450865736,0.02154477701988415,-0.0034043871781517356,0.024115754935773424,-0.004313099183455926,-0.00924378505790023,-0.004477151737575418,0.008406758468140384,-0.039995933167804566,-0.009633585211363245,-0.004719050486722991,0.021541398021693463,0.016346584061353926,0.016881869758415033,0.0762557464023328,0.16626779598429353,0.26761545517625096,0.3785524420568413,0.48851893480692593,0.7677331049444371,0.9999999999999997,0.7669028025702015,0.5943338450521207,0.43876193832483273
