layer_a,layer_b,cosine
0,0,
0,1,
0,2,
0,3,
0,4,
0,5,
0,6,
0,7,
0,8,
0,9,
0,10,
0,11,
0,12,
0,13,
0,14,
0,15,
0,16,
0,17,
0,18,
0,19,
0,20,
0,21,
0,22,
0,23,
0,24,
1,1,1.0000000000000004
1,2,0.20165421877222858
1,3,0.062944191420889
1,4,0.03605247179725208
1,5,0.04723045643518922
1,6,0.017678628670024347
1,7,0.048411685964404386
1,8,0.028397092276772277
1,9,0.0028520244016624124
1,10,-0.008537695795322531
1,11,-0.004711991543663331
1,12,0.0010774040188411974
1,13,0.0020672057287309635
1,14,0.0021483480479573477
1,15,-0.009809737276230617
1,16,0.025191205559861853
1,17,-5.74353008978728e-06
1,18,0.023731535731016933
1,19,0.0280302827594287
1,20,0.009969150383643934
1,21,-0.0067368723450865736
1,22,-0.018712909035765217
1,23,-0.01566320925012577
1,24,-0.0013674017222919748
2,2,1.0000000000000002
2,3,0.27737837805056487
2,4,0.10772300307086591
2,5,0.04227467004636648
2,6,0.07232720059326646
2,7,0.02414497190310145
2,8,-0.021960883831721803
2,9,0.006941710201925503
2,10,-0.011321287348944047
2,11,0.00910432377371217
2,12,0.005326288754414066
2,13,-0.02740813645439104
2,14,0.010273819229319381
2,15,0.016944483052596125
2,16,0.06471814745726098
2,17,0.07907797076645795
2,18,0.05773982107856171
2,19,0.04645664805500824
2,20,0.03612388679740044
2,21,0.02154477701988415
2,22,0.030007971926992286
2,23,0.020818758594706988
2,24,0.010195056737617112
3,3,1.0
3,4,0.34738915316278685
3,5,0.1578343652437814
3,6,0.08103643198537692
3,7,0.05028505040054265
3,8,0.055666033733794036
3,9,0.019629841067630775
3,10,-0.010311075275702443
3,11,0.01503516562143907
3,12,0.003015444725737072
3,13,-0.011568673219795038
3,14,0.03985459898412925
3,15,0.04131597133903944
3,16,0.019534895895089152
3,17,0.05221524986570357
3,18,0.029065469298985198
3,19,0.004355790997789627
3,20,0.012237845894683646
3,21,-0.0034043871781517356
3,22,-0.0066971262843082465
3,23,-0.003569500242816416
3,24,0.00914108641393321
4,4,0.9999999999999998
4,5,0.3314364272003219
4,6,0.17217230835263742
4,7,0.11687334146095668
4,8,0.12249710959147575
4,9,0.058610865931418114
4,10,0.02444100326390868
4,11,0.023758642831952254
4,12,0.0243822473024383
4,13,-0.026942857902353474
4,14,0.019096189065081284
4,15,0.010290511726408012
4,16,-0.0007891370220384488
4,17,0.021885332275190576
4,18,-0.00426057303983008
4,19,0.009742989587246953
4,20,0.03040681712284105
4,21,0.024115754935773424
4,22,0.0029251659180682095
4,23,0.014426308300546746
4,24,-0.0008112041295448022
5,5,1.0000000000000004
5,6,0.35120514328908736
5,7,0.1927428541370912
5,8,0.14195831732308406
5,9,0.07076426340839248
5,10,0.04299989208197447
5,11,0.04366560369548675
5,12,0.036181948990330726
5,13,0.010209487733219644
5,14,-0.0005077347168574303
5,15,0.015598213571161942
5,16,-0.012415385808738194
5,17,0.021982790247935008
5,18,0.010176655036145744
5,19,0.0036026096083930457
5,20,0.01494497629551365
5,21,-0.004313099183455926
5,22,-0.005067900639208528
5,23,0.0016380111983206993
5,24,-0.011153438438285784
6,6,1.0
6,7,0.39146771277795667
6,8,0.25916996692773686
6,9,0.1453171177309725
6,10,0.11330219892453149
6,11,0.06394753083010447
6,12,0.040294879653967434
6,13,0.05043430104197999
6,14,0.06819319378545459
6,15,0.03580254030898882
6,16,0.00433145731967117
6,17,0.01571393241672825
6,18,0.017883074252382104
6,19,0.0044280285770259935
6,20,0.020067151668240246
6,21,-0.00924378505790023
6,22,0.009525443794787371
6,23,0.019577033545986108
6,24,0.0017913707717639258
7,7,0.9999999999999998
7,8,0.47530769743199464
7,9,0.2345977770235861
7,10,0.1556476893752384
7,11,0.09343234059475053
7,12,0.06309700152088858
7,13,0.04107764878427264
7,14,0.05967335750574294
7,15,0.021331082621638128
7,16,-0.027028942036038825
7,17,-0.012230999061004335
7,18,0.018649409525105083
7,19,0.02127258936319075
7,20,0.0067000460255440064
7,21,-0.004477151737575418
7,22,0.009733815557501253
7,23,0.010740177390453472
7,24,0.021967701882901362
8,8,0.9999999999999999
8,9,0.3791229860411727
8,10,0.2186351754752856
8,11,0.14286646399314057
8,12,0.1208166599996688
8,13,0.08365897859974976
8,14,0.07524835586504655
8,15,0.046717853293742506
