layer,train_r2,train_pearson_r,train_mse,val_r2,val_pearson_r,val_mse,test_r2,test_pearson_r,test_mse,n_train,n_val,n_test
0,0.0,nan,0.5378643871424529,-5.7230256166773685e-05,nan,0.5287406466295443,-0.0015597963697999706,nan,0.5741333043957378,1634,529,537
1,0.9634388735800806,0.9827779410022071,0.01966492785508767,0.3081988996343109,0.6592492582689923,0.3657624284689073,0.2894512280493615,0.641360902440085,0.4073143868723429,1634,529,537
2,0.9649075615101137,0.983041919434353,0.018874972921696924,0.6130795910685842,0.7984773843794337,0.20456883968546558,0.628143529773967,0.8012287692885758,0.2131626936161284,1634,529,537
3,0.9713793764277244,0.9860497554752256,0.015394014157336823,0.7142174042401126,0.8509280230706686,0.15109622720176394,0.7117587019840136,0.8482454236948219,0.16523120186438914,1634,529,537
4,0.9686950587314218,0.984723985634506,0.01683781304995427,0.7200106353152547,0.8521323001902585,0.14803328574994287,0.7281689803317613,0.8587931029660139,0.15582418755730978,1634,529,537
5,0.9723907288682725,0.9863985458201977,0.014850043696716421,0.7846312018377191,0.8887673951385393,0.11386772092531457,0.8000683516054878,0.8968950336686772,0.11460865178702298,1634,529,537
6,0.9782901735743091,0.9892726227102323,0.011676942485423263,0.8246052734149748,0.9099987148633878,0.0927330140158311,0.8400562856610287,0.917821798908792,0.09168600173808901,1634,529,537
7,0.9798899252443775,0.9900457282339267,0.010816493033821824,0.8266488497948717,0.9118534334712897,0.09165255395429361,0.8671090884601514,0.9322294801298883,0.07617827556884502,1634,529,537
8,0.9799757099248926,0.9901112790229772,0.010770352509210362,0.822803709561207,0.9097247711199083,0.09368551954068154,0.8597265075327645,0.9281963795457334,0.0804102601175186,1634,529,537
9,0.9830788676688152,0.991603363340661,0.00910127447106903,0.8516374348284782,0.9248607003097709,0.07844082945564466,0.888396553582662,0.9431830969527663,0.06397546677271061,1634,529,537
10,0.9871337236764297,0.9936213179067668,0.006920311829582567,0.8721456148842467,0.9346457627643691,0.06759794161301133,0.8985942244547058,0.9486066490108874,0.05812976240625367,1634,529,537
11,0.9883052586627508,0.9941976243459953,0.006290184882149086,0.8799554943768098,0.9391957352229305,0.06346877719315223,0.8903133521913471,0.944275124279714,0.06287668273300143,1634,529,537
12,0.9901340816329623,0.9951063282264657,0.0053065261360842,0.8961606347223251,0.948029930996331,0.05490095114702131,0.9050834256468715,0.9524940639879567,0.05440989811372646,1634,529,537
13,0.9910571993041156,0.9955579712946414,0.004810014015628932,0.9101662014261185,0.9552918197373436,0.04749606253531656,0.9110973487365193,0.9557319937012126,0.0509624818452659,1634,529,537
14,0.9957064680516505,0.9978617790122,0.0023093379300755308,0.9507939225291294,0.9755102195358764,0.026015764331194537,0.9561772810001976,0.9783085381738491,0.025120898979927427,1634,529,537
15,0.9978435382360099,0.9989238437559799,0.0011598839850846469,0.9743121381854314,0.9874229868917228,0.01358143939710955,0.9736783433515908,0.9869160147431869,0.015088604558106181,1634,529,537
16,0.9990570969460634,0.9995286517349954,0.0005071539732403974,0.9888587302155006,0.9944445955920813,0.005890505075015999,0.9898249364495565,0.9949020228491183,0.0058327449642316094,1634,529,537
17,0.9990766563494059,0.9995384528786705,0.0004966336667486782,0.9900160822340558,0.9950093964831106,0.0052786010397718325,0.9916228068396389,0.9958040490197485,0.00480213523760858,1634,529,537
18,0.9990864572689615,0.9995433384688759,0.000491362101158449,0.9903097250543913,0.9951593373365764,0.00512334903018177,0.991353228687589,0.9956673525629937,0.004956667993206672,1634,529,537
19,0.9991694761152088,0.9995848344115656,0.00044670922030040465,0.990191613333186,0.9951022781302207,0.0051857959241746795,0.9920073494982089,0.9960020008756586,0.004581700323940767,1634,529,537
20,0.9992058836626616,0.9996030359664599,0.0004271268971023434,0.9905132296523547,0.9952551203083401,0.005015754035151669,0.9925604940718739,0.9962772124765951,0.004264616188736988,1634,529,537
21,0.9992563177312386,0.9996282565445931,0.0004000002077161027,0.991032783565927,0.9955177786322348,0.004741060483712902,0.9929651816745356,0.9964768495340732,0.004032633404078152,1634,529,537
22,0.999262453505447,0.9996313326106457,0.0003966999932818235,0.9914170975862563,0.9957073655581967,0.00453786966875752,0.9925377401202945,0.9962679145125115,0.004277659645009525,1634,529,537
23,0.9992661753467813,0.9996331692698409,0.00039469814737347147,0.9918517570982563,0.9959312938763042,0.004308060669346845,0.99326111689809,0.9966322964266937,0.003862991742739301,1634,529,537
24,0.9993490701533939,0.9996746092110647,0.00035011198301751977,0.9921086377813447,0.9960465584361801,0.004172245183619071,0.9932176813012202,0.9966199255761273,0.003887890728151504,1634,529,537
