layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,nan,1.0,0.22630275989308946,0.048499446580494,0.02824390362261365,0.02008006035593786,0.02846133785537837,0.0004957583411438695,0.02240913185737376,0.009360636870866936,-0.01537290814598879,0.001432187484688706,-0.0023129807460448297,-0.0066970187063749055,-0.015878701765239533,0.024736644599267853,0.02228128811062538,0.012025833419381324,0.03304474561191506,0.03755800222872382,0.031814707470172766,0.03627759322962631,0.04343438282045664,0.03130314984519478,0.008657875776403506
2,nan,0.22630275989308946,0.9999999999999999,0.230492077922041,0.07778981608984885,0.049723063267864874,0.027750979810224813,0.02562669160392903,0.05247971427341604,0.01607521612295107,0.017208373276939224,0.02939746058370433,0.015387774478943735,0.05665171474641092,-0.011780484205388532,0.006522339350931298,0.007815883763917755,-0.0007475874664180232,-0.0008394927568067647,0.002877887722637449,0.018600284983881412,0.026131301558155424,0.03194618023458123,0.03610265723204536,0.03719330879567602
3,nan,0.048499446580494,0.230492077922041,1.0,0.24684735678923128,0.13384172108966427,0.08291186124256113,0.07306738349147995,0.016105600700917343,0.005392880472370389,-0.009960699165242701,0.0052691849271607905,0.014515150257769512,-0.013762566045246134,-0.009450982059424568,-0.009867656569639695,0.0018635666415674694,1.9280827437130957e-05,-0.008992125188694244,-0.013448828629034053,-0.0068446176683825966,0.011293674836050796,0.01567916970722067,0.02121783144057773,0.018190190009476963
4,nan,0.02824390362261365,0.07778981608984885,0.24684735678923128,1.0,0.25419534859591114,0.11885560843004507,0.04284662144460193,0.03624413192533635,0.04959581278702454,0.008334812858926153,0.02376075087383358,0.004806512201947409,0.013505798628362233,0.0022596584168715224,0.020977549038970207,0.0396181025169758,0.017430506413947822,-0.009577535592075415,-0.011380375755051575,-0.015073158058400135,-0.01852070725949285,0.008184082605894379,0.02246954601659694,0.02203946605032518
5,nan,0.02008006035593786,0.049723063267864874,0.13384172108966427,0.25419534859591114,0.9999999999999998,0.3313723293306366,0.13152979682410956,0.07754206136319267,0.06134727191497571,0.03101905519319704,0.006143372250700899,0.020980268153704105,0.03982475181152556,0.014064271840396082,0.011560522557324045,0.016681126569197232,0.0182285376068561,-0.018623604188256655,-0.010731883380476584,-0.028527170057535217,-0.009707601798775514,0.015875408907962536,0.02232088574253986,0.01840374071671616
6,nan,0.02846133785537837,0.027750979810224813,0.08291186124256113,0.11885560843004507,0.3313723293306366,1.0000000000000007,0.3619989702347567,0.21333024750885787,0.12145930172953472,0.030371243792439412,0.05293406855692121,0.030422845117838132,0.023013377726567023,-0.01225806326458775,0.031690737008586246,0.030172048132002548,-0.016932477357201207,-0.02033040802971112,-0.006389375978596163,-0.0336625767184002,-0.02454692277935504,-0.023033281563674932,-0.021296604512879586,0.002613835167401721
7,nan,0.0004957583411438695,0.02562669160392903,0.07306738349147995,0.04284662144460193,0.13152979682410956,0.3619989702347567,1.0,0.4348314397428943,0.19187058761878703,0.11916681378658503,0.09716638105366056,0.0762089535244331,0.017214492139442625,0.05308722016649875,0.05026451889930937,0.006849151983979673,-0.009741615701760567,0.01954744663192284,0.031577584010385414,0.038555922954938614,0.038678745477884524,0.05161515689920018,0.0339174515367152,0.019398347081044733
8,nan,0.02240913185737376,0.05247971427341604,0.016105600700917343,0.03624413192533635,0.07754206136319267,0.21333024750885787,0.4348314397428943,1.0,0.3583656839239204,0.21605854710534508,0.12380583221867945,0.07221467066727782,0.01611061625021954,0.005535012947270147,0.028980983990404764,0.01576274574629466,-0.015234871288308485,0.040715125197863015,0.03840128112135756,0.029098862318822916,0.024410760526778204,0.03316532863784479,0.03289919407885425,0.032497152940950416
9,nan,0.009360636870866936,0.01607521612295107,0.005392880472370389,0.04959581278702454,0.06134727191497571,0.12145930172953472,0.19187058761878703,0.3583656839239204,1.0000000000000002,0.4114235354809071,0.20917327499586055,0.11333346379707479,0.06551054564351269,0.06617861661883873,0.03582846399803728,0.03974291059766169,-0.009966228012538549,-0.0042597469146259635,0.004018444523211169,0.024914157475695448,0.03062444676171936,0.0559500183399148,0.05011951907603208,0.02854740106566107
10,nan,-0.01537290814598879,0.017208373276939224,-0.009960699165242701,0.008334812858926153,0.03101905519319704,0.030371243792439412,0.11916681378658503,0.21605854710534508,0.4114235354809071,1.0,0.3660411781288086,0.22576017214533958,0.14618278485177083,0.09716198070538482,0.05611577055424606,0.06997793120389313,0.06179107973912578,0.040892885573603835,0.03964413905129138,0.06329637299208335,0.04269595241634111,0.07825852266074441,0.07846789714965706,0.0618136170325046
11,nan,0.001432187484688706,0.02939746058370433,0.0052691849271607905,0.02376075087383358,0.006143372250700899,0.05293406855692121,0.09716638105366056,0.12380583221867945,0.20917327499586055,0.3660411781288086,0.9999999999999997,0.46110422866142964,0.24807441205810313,0.174420626179328,0.12092142608691843,0.07706404359450648,0.04095511824110866,0.0488595475741746,0.04287080848726227,0.040114228341916046,0.038981654950274454,0.03891105558035464,0.027138686795433575,0.009062490253980048
12,nan,-0.0023129807460448297,0.015387774478943735,0.014515150257769512,0.004806512201947409,0.020980268153704105,0.030422845117838132,0.0762089535244331,0.07221467066727782,0.11333346379707479,0.22576017214533958,0.46110422866142964,1.0000000000000004,0.4650490347891818,0.23815055917567426,0.14028740664307424,0.07923295817970402,0.06701683444503946,0.08539937570587616,0.07330697112131254,0.06447051487101747,0.04929216151992823,0.026065243757584865,0.013465124566256027,0.0013165811694730214
13,nan,-0.0066970187063749055,0.05665171474641092,-0.013762566045246134,0.013505798628362233,0.03982475181152556,0.023013377726567023,0.017214492139442625,0.01611061625021954,0.06551054564351269,0.14618278485177083,0.24807441205810313,0.4650490347891818,0.9999999999999999,0.39780245111240115,0.22303327996191558,0.1541405023557111,0.12475680788620748,0.1354070741328679,0.07559096307746835,0.0625318739841594,0.057061334587525964,0.05194527147570531,0.036043119356751405,0.0052222196173470885
14,nan,-0.015878701765239533,-0.011780484205388532,-0.009450982059424568,0.0022596584168715224,0.014064271840396082,-0.01225806326458775,0.05308722016649875,0.005535012947270147,0.06617861661883873,0.09716198070538482,0.174420626179328,0.23815055917567426,0.39780245111240115,0.9999999999999998,0.41943241468988873,0.23129192442036303,0.13460244469502933,0.1086776818002005,0.08421299935765315,0.09100774678609803,0.07546400726338293,0.08648341310729328,0.044117504625927145,0.016632277009685344
15,nan,0.024736644599267853,0.006522339350931298,-0.009867656569639695,0.020977549038970207,0.011560522557324045,0.031690737008586246,0.05026451889930937,0.028980983990404764,0.03582846399803728,0.05611577055424606,0.12092142608691843,0.14028740664307424,0.22303327996191558,0.41943241468988873,0.9999999999999999,0.36644301173888977,0.234371296130981,0.18132851401292976,0.14537078870943768,0.11405269280405614,0.10325464740924525,0.094075172544014,0.07076809416001867,0.044551117677179
16,nan,0.02228128811062538,0.007815883763917755,0.0018635666415674694,0.0396181025169758,0.016681126569197232,0.030172048132002548,0.006849151983979673,0.01576274574629466,0.03974291059766169,0.06997793120389313,0.07706404359450648,0.07923295817970402,0.1541405023557111,0.23129192442036303,0.36644301173888977,1.0000000000000002,0.5087094153416396,0.3689460165531068,0.2849099636475475,0.2233060614495478,0.18358294441440998,0.14650111482236627,0.1161076908235869,0.08471273142683469
17,nan,0.012025833419381324,-0.0007475874664180232,1.9280827437130957e-05,0.017430506413947822,0.0182285376068561,-0.016932477357201207,-0.009741615701760567,-0.015234871288308485,-0.009966228012538549,0.06179107973912578,0.04095511824110866,0.06701683444503946,0.12475680788620748,0.13460244469502933,0.234371296130981,0.5087094153416396,1.0000000000000002,0.5728214917662221,0.43676234189488783,0.26660704137560987,0.23251203819760602,0.19318501367890942,0.15392261075309105,0.13037729044044177
18,nan,0.03304474561191506,-0.0008394927568067647,-0.008992125188694244,-0.009577535592075415,-0.018623604188256655,-0.02033040802971112,0.01954744663192284,0.040715125197863015,-0.0042597469146259635,0.040892885573603835,0.0488595475741746,0.08539937570587616,0.1354070741328679,0.1086776818002005,0.18132851401292976,0.3689460165531068,0.5728214917662221,0.9999999999999996,0.6699670959964532,0.3935609067171499,0.3404412515472423,0.2698625252983644,0.2188136992767879,0.16964469533390478
19,nan,0.03755800222872382,0.002877887722637449,-0.013448828629034053,-0.011380375755051575,-0.010731883380476584,-0.006389375978596163,0.031577584010385414,0.03840128112135756,0.004018444523211169,0.03964413905129138,0.04287080848726227,0.07330697112131254,0.07559096307746835,0.08421299935765315,0.14537078870943768,0.2849099636475475,0.43676234189488783,0.6699670959964532,0.9999999999999999,0.5426515004818998,0.44933929263180017,0.3547552802463545,0.2682508011766155,0.2462222531769711
20,nan,0.031814707470172766,0.018600284983881412,-0.0068446176683825966,-0.015073158058400135,-0.028527170057535217,-0.0336625767184002,0.038555922954938614,0.029098862318822916,0.024914157475695448,0.06329637299208335,0.040114228341916046,0.06447051487101747,0.0625318739841594,0.09100774678609803,0.11405269280405614,0.2233060614495478,0.26660704137560987,0.3935609067171499,0.5426515004818998,1.0000000000000002,0.7552123039527419,0.5805111754890844,0.4356833673803616,0.35700610868309685
21,nan,0.03627759322962631,0.026131301558155424,0.011293674836050796,-0.01852070725949285,-0.009707601798775514,-0.02454692277935504,0.038678745477884524,0.024410760526778204,0.03062444676171936,0.04269595241634111,0.038981654950274454,0.04929216151992823,0.057061334587525964,0.07546400726338293,0.10325464740924525,0.18358294441440998,0.23251203819760602,0.3404412515472423,0.44933929263180017,0.7552123039527419,1.0000000000000004,0.7283012497774788,0.5458970834543634,0.4142762199899465
22,nan,0.04343438282045664,0.03194618023458123,0.01567916970722067,0.008184082605894379,0.015875408907962536,-0.023033281563674932,0.05161515689920018,0.03316532863784479,0.0559500183399148,0.07825852266074441,0.03891105558035464,0.026065243757584865,0.05194527147570531,0.08648341310729328,0.094075172544014,0.14650111482236627,0.19318501367890942,0.2698625252983644,0.3547552802463545,0.5805111754890844,0.7283012497774788,0.9999999999999997,0.7201473338060718,0.516716253166145
23,nan,0.03130314984519478,0.03610265723204536,0.02121783144057773,0.02246954601659694,0.02232088574253986,-0.021296604512879586,0.0339174515367152,0.03289919407885425,0.05011951907603208,0.07846789714965706,0.027138686795433575,0.013465124566256027,0.036043119356751405,0.044117504625927145,0.07076809416001867,0.1161076908235869,0.15392261075309105,0.2188136992767879,0.2682508011766155,0.4356833673803616,0.5458970834543634,0.7201473338060718,0.9999999999999999,0.6823471305816944
24,nan,0.008657875776403506,0.03719330879567602,0.018190190009476963,0.02203946605032518,0.01840374071671616,0.002613835167401721,0.019398347081044733,0.032497152940950416,0.02854740106566107,0.0618136170325046,0.009062490253980048,0.0013165811694730214,0.0052222196173470885,0.016632277009685344,0.044551117677179,0.08471273142683469,0.13037729044044177,0.16964469533390478,0.2462222531769711,0.35700610868309685,0.4142762199899465,0.516716253166145,0.6823471305816944,0.9999999999999993
