layer_a,layer_b,cosine
0,0,
0,1,
0,2,
0,3,
0,4,
0,5,
0,6,
0,7,
0,8,
0,9,
0,10,
0,11,
0,12,
0,13,
0,14,
0,15,
0,16,
0,17,
0,18,
0,19,
0,20,
0,21,
0,22,
0,23,
0,24,
1,1,1.0
1,2,0.22630275989308946
1,3,0.048499446580494
1,4,0.02824390362261365
1,5,0.02008006035593786
1,6,0.02846133785537837
1,7,0.0004957583411438695
1,8,0.02240913185737376
1,9,0.009360636870866936
1,10,-0.01537290814598879
1,11,0.001432187484688706
1,12,-0.0023129807460448297
1,13,-0.0066970187063749055
1,14,-0.015878701765239533
1,15,0.024736644599267853
1,16,0.02228128811062538
1,17,0.012025833419381324
1,18,0.03304474561191506
1,19,0.03755800222872382
1,20,0.031814707470172766
1,21,0.03627759322962631
1,22,0.04343438282045664
1,23,0.03130314984519478
1,24,0.008657875776403506
2,2,0.9999999999999999
2,3,0.230492077922041
2,4,0.07778981608984885
2,5,0.049723063267864874
2,6,0.027750979810224813
2,7,0.02562669160392903
2,8,0.05247971427341604
2,9,0.01607521612295107
2,10,0.017208373276939224
2,11,0.02939746058370433
2,12,0.015387774478943735
2,13,0.05665171474641092
2,14,-0.011780484205388532
2,15,0.006522339350931298
2,16,0.007815883763917755
2,17,-0.0007475874664180232
2,18,-0.0008394927568067647
2,19,0.002877887722637449
2,20,0.018600284983881412
2,21,0.026131301558155424
2,22,0.03194618023458123
2,23,0.03610265723204536
2,24,0.03719330879567602
3,3,1.0
3,4,0.24684735678923128
3,5,0.13384172108966427
3,6,0.08291186124256113
3,7,0.07306738349147995
3,8,0.016105600700917343
3,9,0.005392880472370389
3,10,-0.009960699165242701
3,11,0.0052691849271607905
3,12,0.014515150257769512
3,13,-0.013762566045246134
3,14,-0.009450982059424568
3,15,-0.009867656569639695
3,16,0.0018635666415674694
3,17,1.9280827437130957e-05
3,18,-0.008992125188694244
3,19,-0.013448828629034053
3,20,-0.0068446176683825966
3,21,0.011293674836050796
3,22,0.01567916970722067
3,23,0.02121783144057773
3,24,0.018190190009476963
4,4,1.0
4,5,0.25419534859591114
4,6,0.11885560843004507
4,7,0.04284662144460193
4,8,0.03624413192533635
4,9,0.04959581278702454
4,10,0.008334812858926153
4,11,0.02376075087383358
4,12,0.004806512201947409
4,13,0.013505798628362233
4,14,0.0022596584168715224
4,15,0.020977549038970207
4,16,0.0396181025169758
4,17,0.017430506413947822
4,18,-0.009577535592075415
4,19,-0.011380375755051575
4,20,-0.015073158058400135
4,21,-0.01852070725949285
4,22,0.008184082605894379
4,23,0.02246954601659694
4,24,0.02203946605032518
5,5,0.9999999999999998
5,6,0.3313723293306366
5,7,0.13152979682410956
5,8,0.07754206136319267
5,9,0.06134727191497571
5,10,0.03101905519319704
5,11,0.006143372250700899
5,12,0.020980268153704105
5,13,0.03982475181152556
5,14,0.014064271840396082
5,15,0.011560522557324045
5,16,0.016681126569197232
5,17,0.0182285376068561
5,18,-0.018623604188256655
5,19,-0.010731883380476584
5,20,-0.028527170057535217
5,21,-0.009707601798775514
5,22,0.015875408907962536
5,23,0.02232088574253986
5,24,0.01840374071671616
6,6,1.0000000000000007
6,7,0.3619989702347567
6,8,0.21333024750885787
6,9,0.12145930172953472
6,10,0.030371243792439412
6,11,0.05293406855692121
6,12,0.030422845117838132
6,13,0.023013377726567023
6,14,-0.01225806326458775
6,15,0.031690737008586246
6,16,0.030172048132002548
6,17,-0.016932477357201207
6,18,-0.02033040802971112
6,19,-0.006389375978596163
6,20,-0.0336625767184002
6,21,-0.02454692277935504
6,22,-0.023033281563674932
6,23,-0.021296604512879586
6,24,0.002613835167401721
7,7,1.0
7,8,0.4348314397428943
7,9,0.19187058761878703
7,10,0.11916681378658503
7,11,0.09716638105366056
7,12,0.0762089535244331
7,13,0.017214492139442625
7,14,0.05308722016649875
7,15,0.05026451889930937
7,16,0.006849151983979673
7,17,-0.009741615701760567
7,18,0.01954744663192284
7,19,0.031577584010385414
7,20,0.038555922954938614
7,21,0.038678745477884524
7,22,0.05161515689920018
7,23,0.0339174515367152
7,24,0.019398347081044733
8,8,1.0
8,9,0.3583656839239204
8,10,0.21605854710534508
8,11,0.12380583221867945
8,12,0.07221467066727782
8,13,0.01611061625021954
8,14,0.005535012947270147
8,15,0.028980983990404764
8,16,0.01576274574629466
8,17,-0.015234871288308485
