layer,train_r2,train_pearson_r,train_mse,val_r2,val_pearson_r,val_mse,test_r2,test_pearson_r,test_mse,n_train,n_val,n_test
0,1.1102230246251565e-16,nan,0.2016965680967731,-6.44459841963041e-05,nan,0.1959862146724119,-3.9065708061114535e-05,nan,0.1887630414147904,4865,1617,1618
1,0.8893469663926019,0.9431033052337517,0.02231833712810909,0.7018217896651151,0.846632063419657,0.058435052836836705,0.6878327941007961,0.8371522060125788,0.05892332933390908,4865,1617,1618
2,0.9029478614563465,0.9503036565095015,0.019575083270707463,0.7513054554713161,0.8709289939379944,0.04873756145174125,0.7420021407441637,0.8660369046893187,0.04869855814798107,4865,1617,1618
3,0.9285763238653588,0.963679722022106,0.014405910357212517,0.827314657683661,0.912473587429502,0.03384176560409764,0.8222420379426667,0.909195959605797,0.033552822788857455,4865,1617,1618
4,0.93945942951109,0.9692994378730357,0.012210825298233932,0.8622106828453872,0.9298304649198313,0.02700306645223516,0.8449779369889485,0.9202200896861986,0.029261292987232016,4865,1617,1618
5,0.9487269023693116,0.9740576012019261,0.010341607827800655,0.8783450889671335,0.9382186195157246,0.023841149043326078,0.8749288493809475,0.9357696035143079,0.023607888525218626,4865,1617,1618
6,0.9548326987889219,0.9771825976077989,0.00911008964446769,0.8899334379149937,0.9442088559708973,0.02157013875622499,0.8894889826305116,0.9433414927682702,0.020859580854211433,4865,1617,1618
7,0.959003101118498,0.9793135395713204,0.008268933807009401,0.8994623520219605,0.9488374990639904,0.019702723297889146,0.8979665598262808,0.9478615277448545,0.019259390111493763,4865,1617,1618
8,0.9605496238086103,0.9801012612952469,0.007957005487929946,0.8993203799503523,0.9493136829995152,0.01973054607372666,0.8972160921952596,0.9476307974673163,0.01940104513015509,4865,1617,1618
9,0.9646616353435766,0.982190193512946,0.007127626873352894,0.9176203239939237,0.9583894409335952,0.016144240434906684,0.9108258294357365,0.9546833132893106,0.016832130092271427,4865,1617,1618
10,0.9692338699882704,0.9845097700629316,0.006205422836984992,0.9222054124479755,0.9607768124737815,0.015245684213198942,0.918989213191799,0.9588654197320882,0.015291245142002592,4865,1617,1618
11,0.9713578142570409,0.9855845414107873,0.005777030567145163,0.9297825438967484,0.9646879784215423,0.013760766599455718,0.9269419110556804,0.9629455368408335,0.01379012834795389,4865,1617,1618
12,0.9733680473431803,0.9866035928738403,0.005371573452596279,0.9337287059544406,0.9665892971552398,0.012987423074169353,0.929532490731661,0.9641806788027621,0.013301141751896034,4865,1617,1618
13,0.9760723356235002,0.9879721314272801,0.004826127787311426,0.9397882757762214,0.9697437991599277,0.01179990745286832,0.9344448277713127,0.9667766116086451,0.012373910294790276,4865,1617,1618
14,0.9792206907804848,0.9895611151207662,0.004191115356997846,0.949127842905514,0.9743690300323784,0.009969599000548968,0.945335678097603,0.9723149165666048,0.010318200571362362,4865,1617,1618
15,0.9833090771220777,0.9916229268287997,0.003366501862844847,0.9571317099680179,0.978425899104993,0.008401052478751985,0.9564258812559142,0.9780847943975078,0.008224861871050168,4865,1617,1618
16,0.987583693392076,0.9937740713823086,0.0025043264312555697,0.9691859737029962,0.9845152080878216,0.0060387352005326295,0.9683566051427508,0.9841566530855146,0.005972870119543121,4865,1617,1618
17,0.9877701864547828,0.9938678730708929,0.002466711420533743,0.9677905878622303,0.9838337113914573,0.006312193966152541,0.9680456675154167,0.9840311455674398,0.006031561358954194,4865,1617,1618
18,0.987149291397786,0.9935555873915665,0.0025919438226782608,0.9653356651632431,0.9825709881313855,0.0067932939682772845,0.9675934255398733,0.9837370230384199,0.00611692459493793,4865,1617,1618
19,0.9873343773516666,0.9936488388016868,0.00255461262097761,0.9664847372391332,0.9831538646823437,0.006568106194185542,0.9687637522996101,0.9843324659616446,0.005896018786162736,4865,1617,1618
20,0.9882342790614086,0.9941012781134657,0.0023731055344982203,0.9671479611396328,0.9834732125772128,0.006438131828772254,0.9696049554124646,0.9848000927006291,0.00573723693105832,4865,1617,1618
21,0.98813970456839,0.9940536463219141,0.002392180885169591,0.9677275345841144,0.9837582108415774,0.006324550743108504,0.9694746073893121,0.9847133706280916,0.005761840859181113,4865,1617,1618
22,0.987762267055612,0.9938636979663924,0.002468308736167891,0.9689570411269214,0.9843834984354287,0.006083599938180556,0.9692707393617033,0.9846005642525927,0.005800322104822677,4865,1617,1618
23,0.9883598614076896,0.9941642205592066,0.0023477760062398023,0.9688646726900784,0.9843578237371281,0.0061017017118860225,0.9704055205164605,0.9851449193378137,0.005586125730443562,4865,1617,1618
24,0.9877751466559923,0.9938700156693444,0.0024657109649727036,0.968176495668098,0.9840154986805749,0.006236566229971875,0.9684968673144873,0.9841809443621212,0.00594639483968625,4865,1617,1618
