layer,train_r2,train_pearson_r,train_mse,val_r2,val_pearson_r,val_mse,test_r2,test_pearson_r,test_mse,n_train,n_val,n_test
0,-2.220446049250313e-16,nan,0.32372658165133794,-1.287480344980274e-05,nan,0.31864715005925315,-5.422344711014659e-07,nan,0.3026482855540811,6480,2160,2160
1,0.9143639229789682,0.9562257480077101,0.02772267448004931,0.8243616240435724,0.90875857488253,0.05596594738897881,0.8127400905363011,0.9046441148836847,0.05667385982168048,6480,2160,2160
2,0.9370895533814008,0.9680397178473545,0.020365783833998084,0.8822223111074223,0.9395773928121154,0.03752904172714933,0.8608876158042753,0.9288433288850153,0.042102101746965846,6480,2160,2160
3,0.9552130137534081,0.9773559244977551,0.014498737960074691,0.9095736871317337,0.9537775439852605,0.028813715914910384,0.906754469885131,0.952389139625693,0.02822058452267282,6480,2160,2160
4,0.9641165756644899,0.9818988340808078,0.011616418298079113,0.9257938743739994,0.9622456044173943,0.023645266019511474,0.9193930601177611,0.9592461049620844,0.024395538931018333,6480,2160,2160
5,0.9714864538941256,0.9856428963712224,0.009230592811612528,0.943337558323377,0.9713001216384337,0.018055093099879654,0.9356890887883456,0.9674529184637111,0.019463576466805847,6480,2160,2160
6,0.9747719203667845,0.9873076522466163,0.008166999981288602,0.9505186804694228,0.9749515565113765,0.015766878454128573,0.944842942013132,0.9720989988125271,0.016693179984315024,6480,2160,2160
7,0.9761183197122568,0.9879887286958412,0.0077311347236412465,0.9547130368406758,0.9770948073764718,0.014430375957302885,0.9506059781246659,0.9750793923697423,0.014949007931323232,6480,2160,2160
8,0.9778505287218356,0.9888650015726133,0.007170372622264639,0.9536528577806325,0.9765605061975076,0.014768194643989012,0.950188436051544,0.9748667727231695,0.015075376255378997,6480,2160,2160
9,0.9797500880266207,0.989824593312277,0.0065554347818825975,0.9578300703682902,0.9786983017619291,0.0134371548946154,0.9568396343259968,0.9782718018062738,0.01306240359223878,6480,2160,2160
10,0.9825087866432198,0.9912168385665117,0.005662370708924681,0.96391255415368,0.9817916728534283,0.011499013724305935,0.9622768682657485,0.98101053984625,0.011416834954500502,6480,2160,2160
11,0.9836021316661184,0.9917679406993711,0.0053084258620961985,0.9674863539167193,0.9836201716990414,0.010360247276325198,0.9650325740092222,0.9824658510848189,0.010582825787975187,6480,2160,2160
12,0.984638582343081,0.9922902273066068,0.0049728992273928765,0.9688725081092998,0.9843318533998161,0.009918558879968049,0.9658267092745793,0.9827953834857021,0.01034248224173937,6480,2160,2160
13,0.9877332726874215,0.9938481091137816,0.0039710657009501505,0.9757489958942819,0.9878198716588283,0.007727413855427758,0.9739224939293645,0.9869027867075386,0.007892308224322415,6480,2160,2160
14,0.9904757179190989,0.9952266878050642,0.003083263280733201,0.9800504799027672,0.9899817877326391,0.006356775881792993,0.9789115069750965,0.9894102527381963,0.006382392798152858,6480,2160,2160
15,0.9915959010643498,0.9957892326292952,0.0027206302202976962,0.9830311991449513,0.9914822422273869,0.005406990418445391,0.9817569453179442,0.99084955040153,0.0055212262289943415,6480,2160,2160
16,0.9932790094192504,0.9966339485918367,0.0021757633060169035,0.9863522954360285,0.9931579568447169,0.004348746174907908,0.9851409583970897,0.992559634612222,0.00449706102763607,6480,2160,2160
17,0.9935728845820556,0.9967813630448586,0.0020806281041297553,0.9867053246720355,0.9933333928572499,0.004236255863257355,0.9862432603306488,0.993110760417431,0.0041634514181760765,6480,2160,2160
18,0.9936910858340207,0.9968406618590072,0.002042363216884195,0.9867142210169974,0.9933403507543426,0.004233421104786264,0.9859596945050257,0.9929705517329577,0.0042492720826077185,6480,2160,2160
19,0.9938412590017685,0.9969159655122496,0.001993748170633457,0.9875300209273341,0.9937495115983748,0.003973472135130756,0.9864113686490529,0.9932046492059423,0.004112573751411316,6480,2160,2160
20,0.9949418532823427,0.9974677634249945,0.0016374565463981232,0.989897963896633,0.994942684548779,0.0032189435708677877,0.9894679871243689,0.9947201230333599,0.003187493911874191,6480,2160,2160
21,0.9951017911850455,0.9975479243078419,0.0015856803958796723,0.990290351349563,0.9951355169319646,0.003093912037029066,0.9898311377731496,0.9949041393018335,0.0030775870502181405,6480,2160,2160
22,0.9952521961835824,0.9976233026711278,0.001536990299840039,0.9906705962290621,0.9953252091982592,0.0029727496497939905,0.9903914394045296,0.9951857920896313,0.0029080128140368507,6480,2160,2160
23,0.9955022550556651,0.9977486199725305,0.001456039595969111,0.9910599641641825,0.9955271953030292,0.002848680264312351,0.9905777218173106,0.9952787479617559,0.002851634791749871,6480,2160,2160
24,0.9960527826183626,0.998024464874517,0.0012778191899922085,0.9922374061511718,0.9961114890996529,0.0024734965612145136,0.9917860136962361,0.9958905264404376,0.002485947524432393,6480,2160,2160
