slice,n,k_man,rate_man,rate_man_ci_low,rate_man_ci_high,k_woman,rate_woman,k_abstain,rate_abstain,mean_log_odds,abstain_variant,soc_major_title
overall_gender_axis,15216,3937,0.25874079915878023,0.25184368322281264,0.26575970628946716,3469,0.22798370136698212,7810,0.5132754994742377,-0.10562894475796737,,
by_abstain,11412,1826,0.16000701016473887,0.1533951841079309,0.16684766158817615,1776,0.15562565720294427,7810,0.6843673326323169,-0.2120958188627573,with_abstain,
by_abstain,3804,2111,0.5549421661409043,0.5391014892553897,0.5706719845151579,1693,0.4450578338590957,0,0.0,0.21377167755640242,without_abstain,
by_soc_major,1055,384,0.3639810426540284,0.33548922582239576,0.3934598445579142,228,0.2161137440758294,443,0.4199052132701422,-0.16652843633281758,,Architecture and Engineering Occupations
by_soc_major,688,179,0.2601744186046512,0.22878637290524884,0.29422583104432576,158,0.22965116279069767,351,0.5101744186046512,-0.13771802559009846,,"Arts, Design, Entertainment, Sports, and Media Occupations"
by_soc_major,128,25,0.1953125,0.1359386913872761,0.2724422748631335,23,0.1796875,80,0.625,-0.01269531516309666,,Building and Grounds Cleaning and Maintenance Occupations
by_soc_major,784,160,0.20408163265306123,0.17734443756202053,0.23370468703358352,205,0.2614795918367347,419,0.5344387755102041,-0.08944515377412816,,Business and Financial Operations Occupations
by_soc_major,224,58,0.25892857142857145,0.20596819169659641,0.32001828311748504,67,0.29910714285714285,99,0.4419642857142857,-0.14955357617135917,,Community and Social Service Occupations
by_soc_major,480,173,0.36041666666666666,0.318729129268788,0.4043207283705717,109,0.22708333333333333,198,0.4125,-0.14804687305517492,,Computer and Mathematical Occupations
by_soc_major,976,308,0.3155737704918033,0.2871879288154457,0.34540574755020353,211,0.21618852459016394,457,0.4682377049180328,-0.12032531010479916,,Construction and Extraction Occupations
by_soc_major,960,215,0.22395833333333334,0.19871596609980766,0.25140114857961693,198,0.20625,547,0.5697916666666667,-0.11640625231046281,,Educational Instruction and Library Occupations
by_soc_major,272,89,0.3272058823529412,0.2741896654950626,0.38503504897875146,66,0.2426470588235294,117,0.43014705882352944,-0.18704043913696206,,"Farming, Fishing, and Forestry Occupations"
by_soc_major,272,37,0.13602941176470587,0.10032520250190624,0.18187153649612736,76,0.27941176470588236,159,0.5845588235294118,-0.0670955915150536,,Food Preparation and Serving Related Occupations
by_soc_major,1376,296,0.21511627906976744,0.19421384565266425,0.2376049950026689,377,0.27398255813953487,703,0.5109011627906976,-0.04664789437306841,,Healthcare Practitioners and Technical Occupations
by_soc_major,272,67,0.24632352941176472,0.19888611786661095,0.30082676082898835,85,0.3125,120,0.4411764705882353,-0.11580882688565122,,Healthcare Support Occupations
by_soc_major,864,214,0.24768518518518517,0.22006029498925936,0.277543876094496,187,0.21643518518518517,463,0.5358796296296297,-0.08637153093033205,,"Installation, Maintenance, and Repair Occupations"
by_soc_major,128,38,0.296875,0.2245804687093706,0.3810068421242358,22,0.171875,68,0.53125,-0.09814453089289074,,Legal Occupations
by_soc_major,960,256,0.26666666666666666,0.23966292369496692,0.2955304109774523,262,0.27291666666666664,442,0.46041666666666664,-0.0842447925868461,,"Life, Physical, and Social Science Occupations"
by_soc_major,832,242,0.29086538461538464,0.2610219573711618,0.32263121327743965,204,0.24519230769230768,386,0.4639423076923077,-0.15317007284124629,,Management Occupations
by_soc_major,1008,185,0.18353174603174602,0.16085100528621762,0.20861551990903024,172,0.17063492063492064,651,0.6458333333333334,-0.0921378996835602,,Office and Administrative Support Occupations
by_soc_major,512,79,0.154296875,0.12559179047493285,0.18815103290340657,133,0.259765625,300,0.5859375,-0.05554199429452698,,Personal Care and Service Occupations
by_soc_major,1728,448,0.25925925925925924,0.23914672133287035,0.28043982746004475,338,0.19560185185185186,942,0.5451388888888888,-0.09450955038953204,,Production Occupations
by_soc_major,464,128,0.27586206896551724,0.23715997062540548,0.31824510664861205,96,0.20689655172413793,240,0.5172413793103449,-0.11260775946355837,,Protective Service Occupations
by_soc_major,384,107,0.2786458333333333,0.23616454170946824,0.32551218404661364,92,0.23958333333333334,185,0.4817708333333333,-0.03645833454704067,,Sales and Related Occupations
by_soc_major,848,249,0.2936320754716981,0.26396461658316706,0.3251608734140343,159,0.1875,440,0.5188679245283019,-0.14003537691049908,,Transportation and Material Moving Occupations
by_soc_major,1,0,0.0,0.0,0.7934567085261071,1,1.0,0,0.0,-1.3750000079622464,,nan
