layer_a,layer_b,cosine
0,0,
0,1,
0,2,
0,3,
0,4,
0,5,
0,6,
0,7,
0,8,
0,9,
0,10,
0,11,
0,12,
0,13,
0,14,
0,15,
0,16,
0,17,
0,18,
0,19,
0,20,
0,21,
0,22,
0,23,
0,24,
1,1,1.0000000000000002
1,2,0.289854200103526
1,3,0.12020879682960754
1,4,0.04235945838190519
1,5,-0.002465039122637954
1,6,-0.01939254780943115
1,7,0.008507518444561686
1,8,-0.02100923481440181
1,9,-0.01132979633474698
1,10,-0.03760639520393175
1,11,-0.006223031208195513
1,12,-0.009207834202515464
1,13,-0.005363108925858359
1,14,-0.024112253772353653
1,15,-0.05575557936786388
1,16,-0.047940485162356834
1,17,-0.028946607204827574
1,18,-0.023131024811514946
1,19,-0.03302137275228462
1,20,-0.03113455922987197
1,21,-0.021620137200821513
1,22,-0.033304578813879326
1,23,-0.025723365074466285
1,24,-0.007523862559938878
2,2,1.0000000000000002
2,3,0.39713183171763844
2,4,0.16704986009086892
2,5,0.1153330003835657
2,6,0.048747513350541276
2,7,0.034426243717165975
2,8,-0.0019071352310071968
2,9,0.006750927583193498
2,10,0.014919866524553977
2,11,0.00644254130852024
2,12,0.011125584059425472
2,13,-0.001855918148514192
2,14,-0.022978425070706604
2,15,-0.04732454804259106
2,16,-0.046663616849749616
2,17,-0.0231115277016544
2,18,-0.02300944486245239
2,19,-0.02037150387737406
2,20,-0.03826063207383472
2,21,-0.023499917273728254
2,22,-0.04250899658579398
2,23,-0.044642528928971255
2,24,-0.031772223586613905
3,3,1.0000000000000004
3,4,0.32637976756201426
3,5,0.17457505214768002
3,6,0.10838249426832958
3,7,0.06719935984981783
3,8,0.039809017348423216
3,9,0.04137799395049839
3,10,0.04984576387438691
3,11,0.043511745902458564
3,12,0.0632180153060529
3,13,0.07133950879018054
3,14,0.07138208802062856
3,15,0.03510727460838698
3,16,0.04892732610273432
3,17,0.023336854812958607
3,18,0.022168601905474566
3,19,0.006356740748864775
3,20,0.018981422728935063
3,21,0.03463951400739107
3,22,0.044413634151405326
3,23,0.036137538485979497
3,24,0.019161460047190892
4,4,1.0000000000000004
4,5,0.38021978453833555
4,6,0.22681225683329387
4,7,0.1238573259241206
4,8,0.10847141363463805
4,9,0.0928148414419824
4,10,0.05715931019412682
4,11,0.03614121377546918
4,12,0.05760614617464112
4,13,0.06096448571286739
4,14,0.05819505006820419
4,15,0.03126221202585006
4,16,0.046206020899654775
4,17,0.013843838435745597
4,18,0.02031572914763674
4,19,0.024200995471624458
4,20,0.03666500951935954
4,21,0.04858796669265663
4,22,0.040138275071733384
4,23,0.03964740878081368
4,24,0.005585868242786603
5,5,0.9999999999999998
5,6,0.4393094245101318
5,7,0.2323700199315819
5,8,0.1889668637894168
5,9,0.14358604342942394
5,10,0.14689702982924935
5,11,0.08850613744390606
5,12,0.08696138967235315
5,13,0.08306368969652014
5,14,0.08903335908131699
5,15,0.0413287293508197
5,16,0.031149575365430254
5,17,0.014878819485213982
5,18,-0.0021404212921002797
5,19,0.0004397878148850909
5,20,0.00028554003329950804
5,21,0.012530033834454127
5,22,0.01232821639782063
5,23,0.0004172819935448482
5,24,-0.02327436810156934
6,6,0.9999999999999999
6,7,0.469173600020383
6,8,0.30850267473273746
6,9,0.23629274101667547
6,10,0.17734339334243704
6,11,0.12594713124203627
6,12,0.12009296066080957
6,13,0.10529772907912838
6,14,0.09106587580685858
6,15,0.06184345068681075
6,16,0.05332815013871477
6,17,0.0070592781631736755
6,18,-0.007724237685213643
6,19,-0.0027439504058137873
6,20,0.0022317879870943046
6,21,0.004300949831502657
6,22,-0.0009375425105463998
6,23,-0.003762306470932796
6,24,-0.012893901758100425
7,7,1.0000000000000004
7,8,0.5412284793088499
7,9,0.34840198271185036
7,10,0.236945609337817
7,11,0.16721305528911154
7,12,0.11291676540852415
7,13,0.10772357641797872
7,14,0.08967896808518243
7,15,0.04515906426848906
7,16,0.05043723813243138
7,17,0.024062186494149138
7,18,0.0019639626811090004
7,19,0.02751116769821247
7,20,0.019100087196117818
7,21,0.01164155161815305
7,22,0.0018706128742748494
7,23,0.006173970759405857
7,24,-0.009535516442061437
8,8,1.0000000000000002
8,9,0.5172083448307615
8,10,0.3377629377420401
8,11,0.22503116793180464
8,12,0.19512912748394673
8,13,0.14509309097642148
8,14,0.11127617554241409
