layer,train_accuracy,train_balanced_accuracy,train_roc_auc,val_accuracy,val_balanced_accuracy,val_roc_auc,test_accuracy,test_balanced_accuracy,test_roc_auc,n_train,n_val,n_test
0,0.44921190893169877,0.5,0.5,0.4473684210526316,0.5,0.5,0.43026315789473685,0.5,0.5,2284,760,760
1,0.9802977232924693,0.9807663700852556,0.998505471415688,0.6644736842105263,0.6633753501400561,0.733921568627451,0.6828947368421052,0.6790368031866432,0.7210204038392272,2284,760,760
2,0.957092819614711,0.9573644852282623,0.9931820365256897,0.6618421052631579,0.655952380952381,0.7299089635854342,0.6657894736842105,0.6580361746156183,0.7120862201693611,2284,760,760
3,0.9575306479859895,0.9579416878178488,0.9931006858251441,0.6618421052631579,0.6562324929971989,0.7164495798319327,0.6907894736842105,0.6837193041930631,0.7327796258236753,2284,760,760
4,0.957092819614711,0.9583530899320373,0.9938320673614792,0.6421052631578947,0.6364145658263305,0.6985434173669467,0.6684210526315789,0.6663347246647033,0.7160342112139896,2284,760,760
5,0.9614711033274956,0.9621479064203522,0.9945479535262818,0.6631578947368421,0.6596638655462185,0.7243207282913164,0.6342105263157894,0.6344400420930709,0.6836663347246646,2284,760,760
6,0.9689141856392294,0.969893267880884,0.9972914090561149,0.6657894736842105,0.6631652661064426,0.7299089635854341,0.6289473684210526,0.6286981517186827,0.68526954396819,2284,760,760
7,0.9728546409807356,0.9738298670187215,0.9972139321984523,0.6947368421052632,0.692156862745098,0.7579481792717088,0.6407894736842106,0.6435825723386374,0.7037311693539843,2284,760,760
8,0.9763572679509632,0.9773690098767498,0.9977477477477479,0.7013157894736842,0.6989495798319327,0.7607072829131653,0.6697368421052632,0.6644949184623317,0.7116412766348144,2284,760,760
9,0.9838003502626971,0.9841257666335066,0.9985690024389715,0.6973684210526315,0.6892156862745098,0.7548949579831932,0.6684210526315789,0.665586089511339,0.7183295548445876,2284,760,760
10,0.9833625218914186,0.9839979298183632,0.9990067466847652,0.656578947368421,0.6509103641456583,0.7063795518207283,0.6631578947368421,0.6620901045970435,0.7171147883693174,2284,760,760
11,0.9864273204903677,0.9872294895514709,0.9993507439327873,0.7065789473684211,0.7051120448179271,0.7558333333333334,0.6684210526315789,0.6678319949714318,0.7280829996256825,2284,760,760
12,0.9881786339754816,0.9886395683609306,0.999394905741655,0.7157894736842105,0.7126050420168067,0.7696498599439776,0.6671052631578948,0.6640570375235715,0.7297497722312858,2284,760,760
13,0.9908056042031523,0.9911141791946745,0.9996591018262845,0.7052631578947368,0.7011204481792717,0.7889005602240897,0.7131578947368421,0.7089645528317479,0.7779166754949114,2284,760,760
14,0.9951838879159369,0.9953583614574326,0.99993801851387,0.75,0.7427170868347339,0.8318487394957984,0.725,0.7174855746481061,0.7934543862251132,2284,760,760
15,0.9982486865148862,0.9983203017258745,0.9999651354140519,0.8223684210526315,0.8224789915966386,0.9036134453781514,0.8131578947368421,0.810574118411481,0.8924437287680714,2284,760,760
16,0.999124343257443,0.9992050874403815,0.9999969009256935,0.8710526315789474,0.8684873949579832,0.9463375350140056,0.8697368421052631,0.8692113199285265,0.9406671327979885,2284,760,760
17,0.9982486865148862,0.9983203017258745,0.999987603702774,0.8592105263157894,0.8572128851540617,0.9392717086834734,0.8657894736842106,0.864998481541906,0.9329265278160334,2284,760,760
18,0.9978108581436077,0.9978329722911766,0.9999837298598908,0.8578947368421053,0.8560224089635855,0.9354131652661064,0.8578947368421053,0.8595673453821218,0.9290421001334831,2284,760,760
19,0.9982486865148862,0.9982304285709858,0.9999852793970441,0.8552631578947368,0.8519607843137255,0.9277380952380954,0.8460526315789474,0.84692883022226,0.9262099992231144,2284,760,760
20,0.9986865148861647,0.9988076311605724,0.9999945766199636,0.843421052631579,0.8378851540616246,0.9144397759103642,0.8381578947368421,0.8396261061790651,0.9252494861961567,2284,760,760
21,0.9978108581436077,0.9978329722911766,0.999989928008504,0.8157894736842105,0.8098039215686275,0.9013795518207284,0.843421052631579,0.8464909492834997,0.9254966770486825,2284,760,760
22,0.9969352014010507,0.9970380597315582,0.9999883784713506,0.8131578947368421,0.8063025210084034,0.8926890756302521,0.8276315789473684,0.8300139133136992,0.9175865697678524,2284,760,760
23,0.9973730297723292,0.9974355160113674,0.9999767569427012,0.8236842105263158,0.8183473389355742,0.9031022408963585,0.8157894736842105,0.8226158442273873,0.9028398697657338,2284,760,760
24,0.9951838879159369,0.995268488302544,0.9999403428195998,0.8289473684210527,0.8264705882352941,0.9033053221288516,0.8026315789473685,0.8091969122331222,0.8900000706259579,2284,760,760
